date,munitions sell
2022-11-26,1847
2022-11-27,1817
2022-11-28,1828
2022-11-29,1844
2022-11-30,1813
2022-12-01,1793
2022-12-02,1800
2022-12-03,1928
2022-12-04,1792
2022-12-05,1774
2022-12-06,1785
2022-12-07,1801
2022-12-08,1795
2022-12-09,1788
2022-12-10,1789
2022-12-11,1786
2022-12-12,1783
2022-12-13,1777
2022-12-14,1842
2022-12-15,1807
2022-12-16,1798
2022-12-17,1779
2022-12-18,1776
2022-12-19,1781
2022-12-20,1799
2022-12-21,1800
2022-12-22,1804
2022-12-23,1823
2022-12-24,2016
2022-12-25,2051
2022-12-26,1901
2022-12-27,1876
2022-12-28,1870
2022-12-29,1944
2022-12-30,1917
2022-12-31,1894
2023-01-01,1891
2023-01-02,1887
2023-01-03,1953
2023-01-04,1854
2023-01-05,1746
2023-01-06,1779
2023-01-07,1707
2023-01-08,1756
2023-01-09,1754
2023-01-10,1796
2023-01-11,1727
2023-01-12,1698
2023-01-13,1682
2023-01-14,1699
2023-01-15,1765
2023-01-16,1778
2023-01-17,1637
2023-01-18,1690
2023-01-19,1764
2023-01-20,1732
2023-01-21,1727
2023-01-22,1710
2023-01-23,1686
2023-01-24,1683
2023-01-25,1654
2023-01-26,1656
2023-01-27,1704
2023-01-28,1737
2023-01-29,1647
2023-01-30,1608
2023-01-31,1627
2023-02-01,1616
2023-02-02,1682
2023-02-03,1698
2023-02-04,1829
2023-02-05,1721
2023-02-06,1704
2023-02-07,1698
2023-02-08,1684
2023-02-09,1688
2023-02-10,1697
2023-02-11,1667
2023-02-12,1661
2023-02-13,1662
2023-02-14,1613
2023-02-15,1646
2023-02-16,1660
2023-02-17,1629
2023-02-18,1690
2023-02-19,1649
2023-02-20,1617
2023-02-21,1670
2023-02-22,1660
2023-02-23,1675
2023-02-24,1661
2023-02-25,1689
2023-02-26,1638
2023-02-27,1633
2023-02-28,1619
2023-03-01,1599
2023-03-02,1610
2023-03-03,1629
2023-03-04,1655
2023-03-05,1661
2023-03-06,1656
2023-03-07,1661
2023-03-08,1674
2023-03-09,1660
2023-03-10,1606
2023-03-11,1603
2023-03-12,1597
2023-03-13,1636
2023-03-14,1636
2023-03-15,1613
2023-03-16,1606
2023-03-17,1644
2023-03-18,1638
2023-03-19,1651
2023-03-20,1644
2023-03-21,1654
2023-03-22,1731
2023-03-23,1637
2023-03-24,1635
2023-03-25,1620
2023-03-26,1657
2023-03-27,1629
2023-03-28,1623
2023-03-29,1596
2023-03-30,1605
2023-03-31,1608
2023-04-01,1599
2023-04-02,1589
2023-04-03,1575
2023-04-04,1690
2023-04-05,1645
2023-04-06,1633
