date,steel buy
2021-12-31,169507
2022-01-01,281257
2022-01-02,329801
2022-01-03,143898
2022-01-04,297202
2022-01-05,266568
2022-01-06,216779
2022-01-07,169385
2022-01-08,81623
2022-01-09,105269
2022-01-10,284961
2022-01-11,174873
2022-01-12,98424
2022-01-13,129214
2022-01-14,161885
2022-01-15,156341
2022-01-16,300379
2022-01-17,133383
2022-01-18,176488
2022-01-19,114497
2022-01-20,353977
2022-01-21,206391
2022-01-22,241441
2022-01-23,135037
2022-01-24,244408
2022-01-25,270444
2022-01-26,111188
2022-01-27,65751
2022-01-28,65464
2022-01-29,58639
2022-01-30,159069
2022-01-31,111127
2022-02-01,204203
2022-02-02,133752
2022-02-03,235333
2022-02-04,133155
2022-02-05,114030
2022-02-06,193094
2022-02-07,195432
2022-02-08,66364
2022-02-09,75273
2022-02-10,77025
2022-02-11,159491
2022-02-12,155644
2022-02-13,128134
2022-02-14,104345
2022-02-15,311571
2022-02-16,152629
2022-02-17,125687
2022-02-18,288426
2022-02-19,210715
2022-02-20,130636
2022-02-21,271013
2022-02-22,239916
2022-02-23,191977
2022-02-24,97463
2022-02-25,152817
2022-02-26,160634
2022-02-27,176225
2022-02-28,244163
2022-03-01,218432
2022-03-02,140284
2022-03-03,327959
2022-03-04,267756
2022-03-05,189686
2022-03-06,361375
2022-03-07,165741
2022-03-08,213765
2022-03-09,215608
2022-03-10,245706
2022-03-11,262602
2022-03-12,202098
2022-03-13,157066
2022-03-14,314269
2022-03-15,326255
2022-03-16,222245
2022-03-17,233775
2022-03-18,231605
2022-03-19,100649
2022-03-20,509806
2022-03-21,184351
2022-03-22,132451
2022-03-23,169724
2022-03-24,238800
2022-03-25,195484
2022-03-26,93331
2022-03-27,142928
2022-03-28,236110
2022-03-29,99966
2022-03-30,113340
2022-03-31,132726
2022-04-01,320035
2022-04-02,292882
2022-04-03,181948
2022-04-04,374455
2022-04-05,204161
2022-04-06,219454
2022-04-07,179911
2022-04-08,397154
2022-04-09,265276
2022-04-10,283663
2022-04-11,202277
2022-04-12,344537
2022-04-13,202171
2022-04-14,222481
2022-04-15,276451
2022-04-16,157838
2022-04-17,253041
2022-04-18,240070
2022-04-19,215374
2022-04-20,162648
2022-04-21,327076
2022-04-22,141127
2022-04-23,154262
2022-04-24,134343
2022-04-25,387759
2022-04-26,99551
2022-04-27,329252
2022-04-28,313685
2022-04-29,232193
2022-04-30,321615
2022-05-01,295051
2022-05-02,262127
2022-05-03,230206
2022-05-04,246184
2022-05-05,158053
2022-05-06,240929
2022-05-07,199457
2022-05-08,215423
2022-05-09,202571
2022-05-10,120364
2022-05-11,265974
2022-05-12,247408
2022-05-13,192926
2022-05-14,108700
2022-05-15,102393
2022-05-16,178309
2022-05-17,226684
2022-05-18,210797
2022-05-19,111845
2022-05-20,174710
2022-05-21,217236
2022-05-22,133822
2022-05-23,164744
2022-05-24,158881
2022-05-25,431242
2022-05-26,162903
2022-05-27,251829
2022-05-28,444019
2022-05-29,259520
2022-05-30,130786
2022-05-31,184569
2022-06-01,219561
2022-06-02,316610
2022-06-03,233810
2022-06-04,248343
2022-06-05,334561
2022-06-06,291973
2022-06-07,176013
2022-06-08,117697
2022-06-09,243978
2022-06-10,214644
2022-06-11,291256
2022-06-12,291525
2022-06-13,238720
2022-06-14,342680
2022-06-15,199480
2022-06-16,188464
2022-06-17,214840
2022-06-18,145026
2022-06-19,377891
2022-06-20,133455
2022-06-21,206438
2022-06-22,140182
2022-06-23,150891
2022-06-24,215376
2022-06-25,220808
2022-06-26,240403
2022-06-27,262069
2022-06-28,308001
2022-06-29,291128
2022-06-30,157914
2022-07-01,176813
2022-07-02,153378
2022-07-03,87117
2022-07-04,158527
2022-07-05,109358
2022-07-06,82748
2022-07-07,111414
2022-07-08,52578
2022-07-09,159312
2022-07-10,162741
2022-07-11,409767
2022-07-12,109930
2022-07-13,208742
2022-07-14,291177
2022-07-15,131882
2022-07-16,135387
2022-07-17,202353
2022-07-18,165989
2022-07-19,127782
2022-07-20,123017
2022-07-21,148879
2022-07-22,148049
2022-07-23,89843
2022-07-24,263574
2022-07-25,134056
2022-07-26,240717
2022-07-27,156794
2022-07-28,146711
2022-07-29,184089
2022-07-30,201931
2022-07-31,256404
2022-08-01,417651
2022-08-02,172766
2022-08-03,255392
2022-08-04,310187
2022-08-05,226766
2022-08-06,354173
2022-08-07,301864
2022-08-08,285140
2022-08-09,215067
2022-08-10,169866
2022-08-11,131830
2022-08-12,258725
2022-08-13,255272
2022-08-14,398006
2022-08-15,346419
2022-08-16,225909
2022-08-17,311493
2022-08-18,222249
2022-08-19,204566
2022-08-20,166888
2022-08-21,161359
2022-08-22,285533
2022-08-23,359857
2022-08-24,406187
2022-08-25,239389
2022-08-26,164345
2022-08-27,189566
2022-08-28,305307
2022-08-29,158799
2022-08-30,263313
2022-08-31,297721
2022-09-01,267285
2022-09-02,257632
2022-09-03,209434
2022-09-04,154384
2022-09-05,186864
2022-09-06,203605
2022-09-07,195661
2022-09-08,224082
2022-09-09,225501
2022-09-10,241471
2022-09-11,218620
2022-09-12,311037
2022-09-13,292478
2022-09-14,402270
2022-09-15,268030
2022-09-16,261391
2022-09-17,253892
2022-09-18,474348
2022-09-19,265255
2022-09-20,319391
2022-09-21,415164
2022-09-22,273068
2022-09-23,286037
2022-09-24,314213
2022-09-25,353970
2022-09-26,304191
2022-09-27,558607
2022-09-28,304126
2022-09-29,201011
2022-09-30,215849
2022-10-01,838414
2022-10-02,417549
2022-10-03,390968
2022-10-04,210457
2022-10-05,331392
2022-10-06,283961
2022-10-07,382146
2022-10-08,745495
2022-10-09,964673
2022-10-10,830500
2022-10-11,445935
2022-10-12,522214
2022-10-13,477355
2022-10-14,418615
2022-10-15,353122
