date,bauxite buy
2022-06-23,65080
2022-06-24,76976
2022-06-25,72468
2022-06-26,85397
2022-06-27,70326
2022-06-28,97279
2022-06-29,67607
2022-06-30,59018
2022-07-01,34717
2022-07-02,61659
2022-07-03,50206
2022-07-04,52257
2022-07-05,41658
2022-07-06,53331
2022-07-07,60134
2022-07-08,84936
2022-07-09,69936
2022-07-10,88521
2022-07-11,47323
2022-07-12,61293
2022-07-13,105504
2022-07-14,69760
2022-07-15,72220
2022-07-16,232615
2022-07-17,62365
2022-07-18,85698
2022-07-19,64216
2022-07-20,78670
2022-07-21,112369
2022-07-22,67929
2022-07-23,70289
2022-07-24,110847
2022-07-25,84347
2022-07-26,97172
2022-07-27,105099
2022-07-28,88435
2022-07-29,94182
2022-07-30,85292
2022-07-31,75662
2022-08-01,101672
2022-08-02,115085
2022-08-03,118983
2022-08-04,117949
2022-08-05,68743
2022-08-06,154879
2022-08-07,101267
2022-08-08,108018
2022-08-09,89111
2022-08-10,159040
2022-08-11,113194
2022-08-12,70772
2022-08-13,37749
2022-08-14,61010
2022-08-15,79695
2022-08-16,91666
2022-08-17,96044
2022-08-18,86685
2022-08-19,81911
2022-08-20,125000
2022-08-21,211680
2022-08-22,125901
2022-08-23,121773
2022-08-24,124163
2022-08-25,86615
2022-08-26,77896
2022-08-27,131591
2022-08-28,151894
2022-08-29,110730
2022-08-30,138222
2022-08-31,108369
2022-09-01,95395
2022-09-02,99159
2022-09-03,70820
2022-09-04,59486
2022-09-05,85318
2022-09-06,109543
2022-09-07,67466
2022-09-08,241458
2022-09-09,71619
2022-09-10,193220
2022-09-11,48132
2022-09-12,79169
2022-09-13,84987
2022-09-14,75482
2022-09-15,117158
2022-09-16,75438
2022-09-17,78520
2022-09-18,120299
2022-09-19,74369
2022-09-20,123665
2022-09-21,97404
2022-09-22,72440
2022-09-23,109767
2022-09-24,123478
2022-09-25,128309
2022-09-26,102846
2022-09-27,105574
2022-09-28,134592
2022-09-29,115595
2022-09-30,75961
2022-10-01,200576
2022-10-02,64501
2022-10-03,73961
2022-10-04,119772
2022-10-05,78922
2022-10-06,70160
2022-10-07,51043
2022-10-08,65479
2022-10-09,109599
2022-10-10,80249
2022-10-11,96866
2022-10-12,77047
2022-10-13,139239
2022-10-14,175792
2022-10-15,152698
2022-10-16,91713
2022-10-17,52063
2022-10-18,30252
2022-10-19,60887
2022-10-20,147573
2022-10-21,149963
2022-10-22,105633
2022-10-23,67615
2022-10-24,120350
2022-10-25,104483
2022-10-26,80870
2022-10-27,140497
2022-10-28,160271
2022-10-29,118151
2022-10-30,86151
2022-10-31,134793
2022-11-01,260681
2022-11-02,132330
2022-11-03,154646
2022-11-04,125020
2022-11-05,203904
2022-11-06,79778
2022-11-07,128420
2022-11-08,135291
2022-11-09,107574
2022-11-10,107303
2022-11-11,148490
2022-11-12,145818
