date,iron buy
2021-11-04,58717
2021-11-05,51791
2021-11-06,45286
2021-11-07,52984
2021-11-08,70198
2021-11-09,37650
2021-11-10,62763
2021-11-11,61724
2021-11-12,44671
2021-11-13,59776
2021-11-14,55724
2021-11-15,70326
2021-11-16,45929
2021-11-17,81723
2021-11-18,44406
2021-11-19,71010
2021-11-20,71759
2021-11-21,70925
2021-11-22,72923
2021-11-23,41001
2021-11-24,54558
2021-11-25,68515
2021-11-26,49596
2021-11-27,61436
2021-11-28,43480
2021-11-29,49471
2021-11-30,129899
2021-12-01,50306
2021-12-02,117445
2021-12-03,44578
2021-12-04,86298
2021-12-05,182229
2021-12-06,109633
2021-12-07,47595
2021-12-08,105193
2021-12-09,57503
2021-12-10,189975
2021-12-11,128317
2021-12-12,54576
2021-12-13,47677
2021-12-14,41721
2021-12-15,44994
2021-12-16,43688
2021-12-17,48294
2021-12-18,37445
2021-12-19,79744
2021-12-20,53793
2021-12-21,106431
2021-12-22,44800
2021-12-23,32892
2021-12-24,100498
2021-12-25,46520
2021-12-26,59965
2021-12-27,61306
2021-12-28,68730
2021-12-29,83602
2021-12-30,67331
2021-12-31,59833
2022-01-01,83216
2022-01-02,67403
2022-01-03,87099
2022-01-04,74306
2022-01-05,58394
2022-01-06,47571
2022-01-07,135586
2022-01-08,115387
2022-01-09,66689
2022-01-10,119550
2022-01-11,34386
2022-01-12,87731
2022-01-13,182081
2022-01-14,74390
2022-01-15,61737
2022-01-16,66198
2022-01-17,113977
2022-01-18,71199
2022-01-19,57200
2022-01-20,85329
2022-01-21,84295
2022-01-22,100620
2022-01-23,186715
2022-01-24,45156
2022-01-25,32287
2022-01-26,42589
2022-01-27,29679
2022-01-28,58979
2022-01-29,36044
2022-01-30,51316
2022-01-31,56620
2022-02-01,73463
2022-02-02,72501
2022-02-03,72265
2022-02-04,69266
2022-02-05,61951
2022-02-06,61910
2022-02-07,77503
2022-02-08,38248
2022-02-09,85583
2022-02-10,66823
2022-02-11,52114
2022-02-12,44995
2022-02-13,69115
2022-02-14,79243
2022-02-15,68741
2022-02-16,64306
2022-02-17,100253
2022-02-18,131139
2022-02-19,132265
2022-02-20,98894
2022-02-21,66878
2022-02-22,227486
2022-02-23,88928
2022-02-24,55254
2022-02-25,77455
2022-02-26,82695
2022-02-27,52389
2022-02-28,74493
2022-03-01,179713
2022-03-02,108822
2022-03-03,201152
2022-03-04,86463
2022-03-05,54026
2022-03-06,116883
2022-03-07,85690
2022-03-08,111314
2022-03-09,109728
2022-03-10,122776
2022-03-11,76673
2022-03-12,210403
2022-03-13,73885
2022-03-14,73137
2022-03-15,83820
2022-03-16,148171
2022-03-17,112905
2022-03-18,171885
2022-03-19,105533
2022-03-20,105114
2022-03-21,97885
2022-03-22,104029
2022-03-23,91003
2022-03-24,151788
2022-03-25,70874
2022-03-26,107351
2022-03-27,113946
2022-03-28,200395
2022-03-29,84098
2022-03-30,161172
2022-03-31,53863
2022-04-01,117631
2022-04-02,118611
2022-04-03,148076
2022-04-04,117724
2022-04-05,133126
2022-04-06,102571
2022-04-07,107166
2022-04-08,68105
2022-04-09,88806
2022-04-10,148945
2022-04-11,100076
2022-04-12,124809
2022-04-13,124209
2022-04-14,106773
2022-04-15,105870
2022-04-16,119957
2022-04-17,131807
2022-04-18,84878
2022-04-19,101278
2022-04-20,103716
2022-04-21,91486
2022-04-22,108874
2022-04-23,77308
2022-04-24,136473
2022-04-25,88498
2022-04-26,95241
2022-04-27,145728
2022-04-28,85654
2022-04-29,115373
2022-04-30,93986
2022-05-01,136842
2022-05-02,103740
2022-05-03,98015
2022-05-04,120973
2022-05-05,118458
2022-05-06,133774
2022-05-07,143682
2022-05-08,127180
2022-05-09,134031
2022-05-10,70489
2022-05-11,130567
2022-05-12,210702
2022-05-13,107930
2022-05-14,101328
