date,munitions buy
2022-02-28,307413
2022-03-01,353484
2022-03-02,121424
2022-03-03,333911
2022-03-04,297070
2022-03-05,304170
2022-03-06,172811
2022-03-07,258770
2022-03-08,191891
2022-03-09,178568
2022-03-10,102403
2022-03-11,389731
2022-03-12,142829
2022-03-13,214575
2022-03-14,254519
2022-03-15,265084
2022-03-16,293550
2022-03-17,138631
2022-03-18,113873
2022-03-19,229005
2022-03-20,262316
2022-03-21,219094
2022-03-22,278085
2022-03-23,142865
2022-03-24,133057
2022-03-25,275498
2022-03-26,292699
2022-03-27,171560
2022-03-28,286027
2022-03-29,177795
2022-03-30,258639
2022-03-31,163388
2022-04-01,221986
2022-04-02,237883
2022-04-03,269226
2022-04-04,230816
2022-04-05,289387
2022-04-06,200093
2022-04-07,192438
2022-04-08,362410
2022-04-09,276683
2022-04-10,354007
2022-04-11,370945
2022-04-12,608544
2022-04-13,208050
2022-04-14,179687
2022-04-15,265149
2022-04-16,165846
2022-04-17,309080
2022-04-18,162266
2022-04-19,89592
2022-04-20,225295
2022-04-21,148378
2022-04-22,129101
2022-04-23,123143
2022-04-24,192465
2022-04-25,280077
2022-04-26,128410
2022-04-27,204264
2022-04-28,235154
2022-04-29,166959
2022-04-30,133246
2022-05-01,206065
2022-05-02,131694
2022-05-03,223886
2022-05-04,184038
2022-05-05,255494
2022-05-06,517844
2022-05-07,154921
2022-05-08,217796
2022-05-09,168933
2022-05-10,168882
2022-05-11,320402
2022-05-12,265998
2022-05-13,236014
2022-05-14,214519
2022-05-15,240215
2022-05-16,142914
2022-05-17,285359
2022-05-18,357759
2022-05-19,142906
2022-05-20,149252
2022-05-21,242349
2022-05-22,174954
2022-05-23,269849
2022-05-24,209476
2022-05-25,287256
2022-05-26,100547
2022-05-27,170297
2022-05-28,217041
2022-05-29,338945
2022-05-30,194570
2022-05-31,123582
2022-06-01,172836
2022-06-02,235744
2022-06-03,168934
2022-06-04,318237
2022-06-05,180582
2022-06-06,206122
2022-06-07,130778
2022-06-08,184358
2022-06-09,204267
2022-06-10,230769
2022-06-11,208521
2022-06-12,249507
2022-06-13,272420
2022-06-14,221649
2022-06-15,289684
2022-06-16,161951
2022-06-17,222571
2022-06-18,72618
2022-06-19,184645
2022-06-20,139404
2022-06-21,122696
2022-06-22,138621
2022-06-23,166918
2022-06-24,172408
2022-06-25,124884
2022-06-26,148758
2022-06-27,208996
2022-06-28,175291
2022-06-29,125105
2022-06-30,202339
2022-07-01,134324
2022-07-02,172991
2022-07-03,151627
2022-07-04,99224
2022-07-05,93283
2022-07-06,103258
2022-07-07,205449
2022-07-08,127965
2022-07-09,146962
2022-07-10,104067
2022-07-11,99481
2022-07-12,78775
2022-07-13,159739
2022-07-14,155344
2022-07-15,94159
2022-07-16,225312
2022-07-17,169106
2022-07-18,103989
2022-07-19,262540
2022-07-20,149023
2022-07-21,233860
2022-07-22,144147
2022-07-23,154025
2022-07-24,129545
2022-07-25,217610
2022-07-26,146002
2022-07-27,288896
2022-07-28,210869
2022-07-29,207564
2022-07-30,185149
2022-07-31,297915
2022-08-01,328610
2022-08-02,274877
2022-08-03,350637
2022-08-04,304549
2022-08-05,235324
2022-08-06,261255
2022-08-07,276526
2022-08-08,276316
2022-08-09,270955
2022-08-10,212051
2022-08-11,182995
2022-08-12,215704
2022-08-13,157387
2022-08-14,269351
2022-08-15,164287
2022-08-16,181401
