date,coal buy
2022-07-11,83501
2022-07-12,99871
2022-07-13,118130
2022-07-14,99868
2022-07-15,71258
2022-07-16,183246
2022-07-17,117383
2022-07-18,70997
2022-07-19,112820
2022-07-20,136495
2022-07-21,83573
2022-07-22,110082
2022-07-23,57148
2022-07-24,123911
2022-07-25,67077
2022-07-26,144197
2022-07-27,85862
2022-07-28,78470
2022-07-29,82951
2022-07-30,85456
2022-07-31,77086
2022-08-01,182207
2022-08-02,145885
2022-08-03,155104
2022-08-04,196360
2022-08-05,172459
2022-08-06,211634
2022-08-07,167340
2022-08-08,114407
2022-08-09,84506
2022-08-10,120956
2022-08-11,94447
2022-08-12,183936
2022-08-13,123867
2022-08-14,190028
2022-08-15,100187
2022-08-16,142793
2022-08-17,147516
2022-08-18,133227
2022-08-19,149053
2022-08-20,115453
2022-08-21,133897
2022-08-22,147263
2022-08-23,238116
2022-08-24,300428
2022-08-25,104629
2022-08-26,201789
2022-08-27,197115
2022-08-28,190045
2022-08-29,133613
2022-08-30,196777
2022-08-31,131416
2022-09-01,145976
2022-09-02,120996
2022-09-03,137938
2022-09-04,100433
2022-09-05,110036
2022-09-06,143834
2022-09-07,120828
2022-09-08,127810
2022-09-09,160856
2022-09-10,170132
2022-09-11,171587
2022-09-12,187125
2022-09-13,218186
2022-09-14,175653
2022-09-15,209964
2022-09-16,178618
2022-09-17,139309
2022-09-18,199637
2022-09-19,106412
2022-09-20,183050
2022-09-21,202278
2022-09-22,139350
2022-09-23,115857
2022-09-24,102808
2022-09-25,175696
2022-09-26,138651
2022-09-27,183070
2022-09-28,222539
2022-09-29,139285
2022-09-30,65605
2022-10-01,289295
2022-10-02,145274
2022-10-03,200246
2022-10-04,220782
2022-10-05,143015
2022-10-06,361788
2022-10-07,180216
2022-10-08,112673
2022-10-09,139196
2022-10-10,144316
2022-10-11,173995
2022-10-12,118562
2022-10-13,181774
2022-10-14,218621
2022-10-15,255123
2022-10-16,174846
2022-10-17,235665
2022-10-18,164020
2022-10-19,129904
2022-10-20,121372
2022-10-21,381201
2022-10-22,174311
2022-10-23,148041
2022-10-24,159779
2022-10-25,176788
2022-10-26,120613
2022-10-27,134341
2022-10-28,199422
2022-10-29,120382
2022-10-30,116843
2022-10-31,145864
2022-11-01,221351
2022-11-02,145864
2022-11-03,248097
2022-11-04,154763
2022-11-05,218068
2022-11-06,200445
2022-11-07,118568
2022-11-08,119356
2022-11-09,122068
2022-11-10,136429
2022-11-11,161563
2022-11-12,265256
2022-11-13,130626
2022-11-14,81820
2022-11-15,118905
2022-11-16,188614
2022-11-17,88506
2022-11-18,95347
2022-11-19,53231
2022-11-20,110474
2022-11-21,77278
2022-11-22,105180
2022-11-23,89320
2022-11-24,88350
2022-11-25,296028
2022-11-26,131935
2022-11-27,98518
2022-11-28,134219
2022-11-29,124067
2022-11-30,104795
2022-12-01,113499
2022-12-02,127098
2022-12-03,96274
2022-12-04,164307
2022-12-05,108675
2022-12-06,132701
2022-12-07,136052
2022-12-08,120688
2022-12-09,354085
2022-12-10,76493
2022-12-11,216361
2022-12-12,110170
2022-12-13,108389
2022-12-14,93639
2022-12-15,109934
2022-12-16,128236
2022-12-17,165466
2022-12-18,81286
2022-12-19,108765
2022-12-20,103572
2022-12-21,99774
2022-12-22,140068
2022-12-23,152186
2022-12-24,179634
2022-12-25,84979
2022-12-26,164754
2022-12-27,161556
2022-12-28,87055
2022-12-29,129297
2022-12-30,82621
2022-12-31,144222
2023-01-01,69942
2023-01-02,71828
2023-01-03,157369
2023-01-04,144542
2023-01-05,101983
2023-01-06,334317
2023-01-07,143018
2023-01-08,93176
2023-01-09,207545
2023-01-10,195530
2023-01-11,59106
2023-01-12,100167
2023-01-13,134633
2023-01-14,96996
2023-01-15,100551
2023-01-16,115324
2023-01-17,106848
2023-01-18,123433
2023-01-19,175077
2023-01-20,87762
2023-01-21,131574
2023-01-22,103074
2023-01-23,121787
2023-01-24,89649
2023-01-25,120541
2023-01-26,148633
2023-01-27,297182
2023-01-28,129545
2023-01-29,183860
2023-01-30,155646
2023-01-31,158842
2023-02-01,169324
2023-02-02,178769
2023-02-03,127252
2023-02-04,317837
2023-02-05,101425
2023-02-06,196372
2023-02-07,100105
2023-02-08,100146
2023-02-09,163541
2023-02-10,188104
2023-02-11,175697
2023-02-12,170887
2023-02-13,102153
2023-02-14,144912
2023-02-15,172385
2023-02-16,174991
2023-02-17,258254
2023-02-18,130384
2023-02-19,154637
2023-02-20,123814
2023-02-21,157113
2023-02-22,139630
2023-02-23,131757
2023-02-24,118174
2023-02-25,161599
2023-02-26,126652
2023-02-27,358237
2023-02-28,186152
2023-03-01,219870
2023-03-02,122495
2023-03-03,209415
2023-03-04,210223
2023-03-05,197769
2023-03-06,173689
2023-03-07,152473
2023-03-08,148857
2023-03-09,220985
2023-03-10,94089
2023-03-11,113494
2023-03-12,173906
2023-03-13,221098
2023-03-14,136549
2023-03-15,146747
2023-03-16,249158
2023-03-17,203446
2023-03-18,104051
2023-03-19,141290
2023-03-20,118365
2023-03-21,140090
2023-03-22,221435
2023-03-23,141712
2023-03-24,247587
2023-03-25,86856
2023-03-26,223705
2023-03-27,103733
2023-03-28,112274
2023-03-29,133407
2023-03-30,158872
2023-03-31,95487
2023-04-01,81807
2023-04-02,162297
2023-04-03,92733
2023-04-04,82138
2023-04-05,143829
2023-04-06,163506
2023-04-07,229228
2023-04-08,77873
2023-04-09,109500
2023-04-10,147886
2023-04-11,181943
2023-04-12,98757
2023-04-13,191670
2023-04-14,99522
2023-04-15,351746
2023-04-16,150605
2023-04-17,153366
2023-04-18,93959
2023-04-19,199637
2023-04-20,106544
2023-04-21,330259
2023-04-22,179703
2023-04-23,139086
2023-04-24,161972
2023-04-25,298407
