date,gasoline buy
2022-03-01,120717
2022-03-02,188527
2022-03-03,261143
2022-03-04,232247
2022-03-05,195148
2022-03-06,155633
2022-03-07,111455
2022-03-08,201951
2022-03-09,210651
2022-03-10,160652
2022-03-11,183471
2022-03-12,109706
2022-03-13,122401
2022-03-14,305245
2022-03-15,139913
2022-03-16,214503
2022-03-17,138923
2022-03-18,412974
2022-03-19,129622
2022-03-20,126066
2022-03-21,172924
2022-03-22,150613
2022-03-23,180070
2022-03-24,180370
2022-03-25,185879
2022-03-26,159495
2022-03-27,259865
2022-03-28,174254
2022-03-29,241713
2022-03-30,216362
2022-03-31,263314
2022-04-01,502221
2022-04-02,165926
2022-04-03,224134
2022-04-04,271782
2022-04-05,313133
2022-04-06,254495
2022-04-07,148210
2022-04-08,183032
2022-04-09,166971
2022-04-10,340018
2022-04-11,521750
2022-04-12,247506
2022-04-13,193949
2022-04-14,210984
2022-04-15,256008
2022-04-16,217091
2022-04-17,121292
2022-04-18,194380
2022-04-19,169961
2022-04-20,196957
2022-04-21,154175
2022-04-22,147884
2022-04-23,137146
2022-04-24,222641
2022-04-25,223072
2022-04-26,128687
2022-04-27,222791
2022-04-28,128407
2022-04-29,107190
2022-04-30,295853
2022-05-01,251659
2022-05-02,125177
2022-05-03,110842
2022-05-04,181247
2022-05-05,148145
2022-05-06,254702
2022-05-07,134349
2022-05-08,174303
2022-05-09,226048
2022-05-10,219281
2022-05-11,146446
2022-05-12,241817
2022-05-13,175127
2022-05-14,101177
2022-05-15,109399
2022-05-16,171968
2022-05-17,373103
2022-05-18,300242
2022-05-19,194323
2022-05-20,173111
2022-05-21,218267
2022-05-22,165520
2022-05-23,256940
2022-05-24,176803
2022-05-25,147433
2022-05-26,196274
2022-05-27,150256
2022-05-28,194432
2022-05-29,192015
2022-05-30,175930
2022-05-31,222417
2022-06-01,154864
2022-06-02,135410
2022-06-03,154654
2022-06-04,153114
2022-06-05,184489
2022-06-06,314860
2022-06-07,121332
2022-06-08,131431
2022-06-09,267120
2022-06-10,135184
2022-06-11,88264
2022-06-12,230749
2022-06-13,219197
2022-06-14,118149
2022-06-15,152696
2022-06-16,152837
2022-06-17,189824
2022-06-18,102025
2022-06-19,190465
2022-06-20,176719
2022-06-21,76234
2022-06-22,137899
2022-06-23,160798
2022-06-24,161533
2022-06-25,170025
2022-06-26,215087
2022-06-27,207729
2022-06-28,184808
2022-06-29,62520
2022-06-30,149841
2022-07-01,133467
2022-07-02,127741
2022-07-03,53295
2022-07-04,104691
2022-07-05,96701
2022-07-06,43759
2022-07-07,102338
2022-07-08,81067
2022-07-09,108287
2022-07-10,80728
2022-07-11,141882
2022-07-12,118859
2022-07-13,128570
2022-07-14,228324
2022-07-15,110824
2022-07-16,154947
2022-07-17,90348
2022-07-18,67989
2022-07-19,160162
2022-07-20,106904
2022-07-21,108725
2022-07-22,123423
2022-07-23,100580
2022-07-24,145065
2022-07-25,73388
2022-07-26,179599
2022-07-27,156256
2022-07-28,143499
2022-07-29,170865
2022-07-30,146784
2022-07-31,261229
2022-08-01,330470
2022-08-02,174531
2022-08-03,207098
2022-08-04,375001
2022-08-05,233445
2022-08-06,170851
2022-08-07,371873
2022-08-08,315205
2022-08-09,215900
2022-08-10,182317
2022-08-11,232283
2022-08-12,217073
2022-08-13,253655
2022-08-14,425660
2022-08-15,133868
2022-08-16,218160
2022-08-17,249858
2022-08-18,165769
2022-08-19,135383
2022-08-20,91405
2022-08-21,258758
2022-08-22,206147
2022-08-23,279699
2022-08-24,220533
2022-08-25,177242
2022-08-26,319407
2022-08-27,358647
2022-08-28,237914
2022-08-29,172703
2022-08-30,306881
2022-08-31,99769
2022-09-01,153651
2022-09-02,228844
2022-09-03,113761
2022-09-04,140168
2022-09-05,139594
2022-09-06,139239
2022-09-07,148986
2022-09-08,269149
2022-09-09,207726
2022-09-10,170821
2022-09-11,271104
2022-09-12,238213
2022-09-13,187551
2022-09-14,127327
2022-09-15,322360
2022-09-16,192496
2022-09-17,296051
2022-09-18,614852
2022-09-19,249406
2022-09-20,279762
2022-09-21,260282
2022-09-22,136392
2022-09-23,285603
2022-09-24,209582
2022-09-25,496419
2022-09-26,194052
2022-09-27,261697
2022-09-28,303928
2022-09-29,163739
2022-09-30,267657
2022-10-01,371436
2022-10-02,462530
2022-10-03,275193
2022-10-04,266341
2022-10-05,211521
2022-10-06,178243
2022-10-07,283508
2022-10-08,221441
2022-10-09,196582
2022-10-10,328210
2022-10-11,564998
2022-10-12,296378
2022-10-13,212654
2022-10-14,261400
2022-10-15,263369
2022-10-16,334127
2022-10-17,256449
2022-10-18,341151
2022-10-19,143788
2022-10-20,198381
2022-10-21,222665
2022-10-22,399009
2022-10-23,114490
2022-10-24,444860
2022-10-25,513557
2022-10-26,251349
2022-10-27,197769
2022-10-28,173747
2022-10-29,227442
2022-10-30,213138
2022-10-31,257894
2022-11-01,405951
2022-11-02,326122
2022-11-03,194729
2022-11-04,213536
2022-11-05,282933
2022-11-06,252329
2022-11-07,399063
2022-11-08,224314
2022-11-09,187615
2022-11-10,418596
2022-11-11,252395
2022-11-12,349919
2022-11-13,130328
2022-11-14,224306
2022-11-15,191330
2022-11-16,220762
2022-11-17,146004
2022-11-18,145007
2022-11-19,119035
2022-11-20,137430
2022-11-21,101687
2022-11-22,74430
2022-11-23,98026
2022-11-24,101811
2022-11-25,80314
2022-11-26,163924
2022-11-27,133722
2022-11-28,116376
2022-11-29,136041
2022-11-30,113424
2022-12-01,186669
2022-12-02,96549
2022-12-03,144857
2022-12-04,130722
2022-12-05,272367
2022-12-06,198000
2022-12-07,324670
2022-12-08,153202
2022-12-09,103415
2022-12-10,151951
2022-12-11,143979
2022-12-12,331544
2022-12-13,189349
2022-12-14,147746
2022-12-15,106472
2022-12-16,118877
2022-12-17,174299
2022-12-18,161264
2022-12-19,123340
2022-12-20,73156
2022-12-21,216346
2022-12-22,108874
2022-12-23,226918
2022-12-24,142645
2022-12-25,104478
2022-12-26,65403
2022-12-27,142070
2022-12-28,199498
2022-12-29,375668
2022-12-30,217659
2022-12-31,73641
2023-01-01,159587
2023-01-02,43003
2023-01-03,224797
2023-01-04,103728
2023-01-05,159466
2023-01-06,128109
2023-01-07,125483
2023-01-08,342895
2023-01-09,106802
2023-01-10,395751
2023-01-11,122134
2023-01-12,304919
2023-01-13,100575
2023-01-14,192435
2023-01-15,164262
2023-01-16,192292
2023-01-17,41707
2023-01-18,163464
2023-01-19,152352
2023-01-20,259020
2023-01-21,74691
2023-01-22,113865
2023-01-23,357340
2023-01-24,251523
2023-01-25,337637
2023-01-26,313635
2023-01-27,379434
2023-01-28,248982
2023-01-29,329217
2023-01-30,288671
2023-01-31,240452
2023-02-01,106288
2023-02-02,141831
2023-02-03,343603
2023-02-04,282729
2023-02-05,257139
2023-02-06,79309
2023-02-07,176216
2023-02-08,224126
2023-02-09,183676
2023-02-10,144068
2023-02-11,306798
2023-02-12,336895
2023-02-13,303506
2023-02-14,416671
2023-02-15,318934
2023-02-16,148387
2023-02-17,212050
2023-02-18,87646
2023-02-19,153318
2023-02-20,207797
2023-02-21,133325
2023-02-22,218814
2023-02-23,190261
2023-02-24,176522
2023-02-25,154159
2023-02-26,193842
2023-02-27,186009
2023-02-28,172430
2023-03-01,171692
2023-03-02,261846
2023-03-03,139708
2023-03-04,370974
2023-03-05,314934
2023-03-06,412957
2023-03-07,117934
2023-03-08,194140
2023-03-09,191827
2023-03-10,160033
2023-03-11,140217
2023-03-12,273175
2023-03-13,271540
2023-03-14,304602
2023-03-15,270644
2023-03-16,126927
2023-03-17,234805
2023-03-18,190592
2023-03-19,253087
2023-03-20,200985
2023-03-21,257022
2023-03-22,499649
2023-03-23,567922
2023-03-24,240656
2023-03-25,189542
2023-03-26,198322
2023-03-27,118984
2023-03-28,362107
2023-03-29,151446
