date,lead buy
2022-02-11,41756
2022-02-12,40063
2022-02-13,54072
2022-02-14,54832
2022-02-15,123578
2022-02-16,56133
2022-02-17,60037
2022-02-18,130665
2022-02-19,96115
2022-02-20,55118
2022-02-21,61083
2022-02-22,53469
2022-02-23,85257
2022-02-24,45756
2022-02-25,51709
2022-02-26,46966
2022-02-27,50441
2022-02-28,67304
2022-03-01,91241
2022-03-02,54986
2022-03-03,93893
2022-03-04,71054
2022-03-05,72696
2022-03-06,70943
2022-03-07,83773
2022-03-08,83646
2022-03-09,61013
2022-03-10,148516
2022-03-11,44054
2022-03-12,37712
2022-03-13,70504
2022-03-14,64736
2022-03-15,49194
2022-03-16,82632
2022-03-17,35702
2022-03-18,122420
2022-03-19,23930
2022-03-20,113079
2022-03-21,61492
2022-03-22,35262
2022-03-23,58620
2022-03-24,55393
2022-03-25,55400
2022-03-26,80596
2022-03-27,49553
2022-03-28,77539
2022-03-29,34774
2022-03-30,38980
2022-03-31,42599
2022-04-01,87579
2022-04-02,35141
2022-04-03,60331
2022-04-04,47984
2022-04-05,62397
2022-04-06,59596
2022-04-07,68785
2022-04-08,43275
2022-04-09,77345
2022-04-10,60417
2022-04-11,47416
2022-04-12,76451
2022-04-13,50074
2022-04-14,45952
2022-04-15,92408
2022-04-16,141228
2022-04-17,105810
2022-04-18,104739
2022-04-19,119600
2022-04-20,63788
2022-04-21,45360
2022-04-22,91498
2022-04-23,83522
2022-04-24,75944
2022-04-25,61858
2022-04-26,73737
2022-04-27,93162
2022-04-28,74446
2022-04-29,81923
2022-04-30,86632
2022-05-01,112015
2022-05-02,63384
2022-05-03,76185
2022-05-04,62827
2022-05-05,70354
2022-05-06,107722
2022-05-07,80916
2022-05-08,116142
2022-05-09,73663
2022-05-10,56029
2022-05-11,63884
2022-05-12,116919
2022-05-13,110476
2022-05-14,57790
2022-05-15,82199
2022-05-16,94081
2022-05-17,121656
2022-05-18,124379
2022-05-19,85877
2022-05-20,85958
2022-05-21,54001
2022-05-22,69208
2022-05-23,95123
2022-05-24,68566
2022-05-25,104211
2022-05-26,59958
2022-05-27,96201
2022-05-28,108787
2022-05-29,78159
2022-05-30,91013
2022-05-31,51468
2022-06-01,89405
2022-06-02,76170
2022-06-03,52257
2022-06-04,60229
2022-06-05,99119
2022-06-06,97222
2022-06-07,47704
2022-06-08,72753
2022-06-09,86675
2022-06-10,79806
2022-06-11,94674
2022-06-12,100506
2022-06-13,97036
2022-06-14,90838
2022-06-15,87790
2022-06-16,64242
2022-06-17,81352
2022-06-18,68693
2022-06-19,96649
2022-06-20,68259
2022-06-21,85999
2022-06-22,79349
2022-06-23,101341
2022-06-24,119694
2022-06-25,70620
2022-06-26,70698
2022-06-27,113948
2022-06-28,95653
2022-06-29,93890
2022-06-30,62652
2022-07-01,67131
2022-07-02,51075
2022-07-03,111088
2022-07-04,75282
2022-07-05,48509
2022-07-06,61124
2022-07-07,75304
2022-07-08,97083
2022-07-09,61407
2022-07-10,134962
2022-07-11,84053
2022-07-12,78485
2022-07-13,51425
2022-07-14,122803
2022-07-15,74225
2022-07-16,169386
2022-07-17,85736
2022-07-18,105958
2022-07-19,66389
2022-07-20,81872
2022-07-21,89858
2022-07-22,76747
2022-07-23,60165
2022-07-24,80551
2022-07-25,70244
2022-07-26,92498
2022-07-27,64130
2022-07-28,110383
2022-07-29,52364
2022-07-30,42306
2022-07-31,73732
2022-08-01,92299
2022-08-02,97934
2022-08-03,99558
2022-08-04,156536
2022-08-05,71812
2022-08-06,84442
2022-08-07,107367
2022-08-08,84976
2022-08-09,65250
2022-08-10,158767
2022-08-11,99739
2022-08-12,149964
2022-08-13,57231
2022-08-14,64948
2022-08-15,104315
2022-08-16,93618
2022-08-17,173364
2022-08-18,167888
2022-08-19,89632
2022-08-20,95367
2022-08-21,137246
2022-08-22,98556
2022-08-23,128038
2022-08-24,190352
2022-08-25,105549
2022-08-26,151746
2022-08-27,166509
2022-08-28,129584
2022-08-29,127461
2022-08-30,123317
2022-08-31,92073
2022-09-01,156187
2022-09-02,88040
2022-09-03,158594
