date,oil buy
2021-10-30,31912
2021-10-31,88579
2021-11-01,77420
2021-11-02,63649
2021-11-03,66350
2021-11-04,102144
2021-11-05,72689
2021-11-06,96991
2021-11-07,89865
2021-11-08,65519
2021-11-09,42840
2021-11-10,28249
2021-11-11,81746
2021-11-12,34145
2021-11-13,57170
2021-11-14,54131
2021-11-15,53632
2021-11-16,48851
2021-11-17,53246
2021-11-18,64062
2021-11-19,53801
2021-11-20,51508
2021-11-21,86311
2021-11-22,58333
2021-11-23,59729
2021-11-24,40562
2021-11-25,66387
2021-11-26,64424
2021-11-27,48070
2021-11-28,35246
2021-11-29,84998
2021-11-30,51069
2021-12-01,49307
2021-12-02,82200
2021-12-03,62865
2021-12-04,55697
2021-12-05,129804
2021-12-06,99682
2021-12-07,81571
2021-12-08,131385
2021-12-09,58829
2021-12-10,48170
2021-12-11,70182
2021-12-12,122458
2021-12-13,53210
2021-12-14,77178
2021-12-15,66198
2021-12-16,49017
2021-12-17,65424
2021-12-18,67228
2021-12-19,77628
2021-12-20,60278
2021-12-21,136245
2021-12-22,82784
2021-12-23,78058
2021-12-24,75208
2021-12-25,91326
2021-12-26,49803
2021-12-27,76275
2021-12-28,80591
2021-12-29,62457
2021-12-30,49925
2021-12-31,86546
2022-01-01,131658
2022-01-02,77499
2022-01-03,63819
2022-01-04,73042
2022-01-05,68703
2022-01-06,57493
2022-01-07,48513
2022-01-08,67084
2022-01-09,84986
2022-01-10,62436
2022-01-11,23638
2022-01-12,75312
2022-01-13,174203
2022-01-14,41365
2022-01-15,63022
2022-01-16,44013
2022-01-17,129681
2022-01-18,91980
2022-01-19,51352
2022-01-20,125529
2022-01-21,83194
2022-01-22,112255
2022-01-23,272527
2022-01-24,48060
2022-01-25,47768
2022-01-26,49471
2022-01-27,38988
2022-01-28,48558
2022-01-29,90905
2022-01-30,58251
2022-01-31,44773
2022-02-01,68380
2022-02-02,74992
2022-02-03,70804
2022-02-04,76934
2022-02-05,67119
2022-02-06,73947
2022-02-07,91293
2022-02-08,77606
2022-02-09,56454
2022-02-10,69674
2022-02-11,64210
2022-02-12,59872
2022-02-13,82917
2022-02-14,74174
2022-02-15,105399
2022-02-16,192606
2022-02-17,93338
2022-02-18,164684
2022-02-19,140422
2022-02-20,121837
2022-02-21,91682
2022-02-22,99788
2022-02-23,99963
2022-02-24,148490
2022-02-25,75024
2022-02-26,70739
2022-02-27,85788
2022-02-28,85997
2022-03-01,97036
2022-03-02,73586
2022-03-03,85764
2022-03-04,101743
2022-03-05,92893
2022-03-06,75653
2022-03-07,144591
2022-03-08,67723
