date,food buy
2022-06-17,138
2022-06-18,138
2022-06-19,136
2022-06-20,138
2022-06-21,140
2022-06-22,145
2022-06-23,143
2022-06-24,141
2022-06-25,149
2022-06-26,142
2022-06-27,144
2022-06-28,143
2022-06-29,143
2022-06-30,147
2022-07-01,149
2022-07-02,149
2022-07-03,154
2022-07-04,156
2022-07-05,160
2022-07-06,182
2022-07-07,160
2022-07-08,154
2022-07-09,159
2022-07-10,160
2022-07-11,164
2022-07-12,179
2022-07-13,172
2022-07-14,174
2022-07-15,175
2022-07-16,176
2022-07-17,177
2022-07-18,183
2022-07-19,186
2022-07-20,186
2022-07-21,186
2022-07-22,182
2022-07-23,189
2022-07-24,196
2022-07-25,199
2022-07-26,199
2022-07-27,195
2022-07-28,197
2022-07-29,200
2022-07-30,200
2022-07-31,186
2022-08-01,185
2022-08-02,190
2022-08-03,191
2022-08-04,208
2022-08-05,199
2022-08-06,187
2022-08-07,162
2022-08-08,187
2022-08-09,189
2022-08-10,188
2022-08-11,184
2022-08-12,173
2022-08-13,169
2022-08-14,170
2022-08-15,173
2022-08-16,166
2022-08-17,160
2022-08-18,157
2022-08-19,154
2022-08-20,153
2022-08-21,148
2022-08-22,147
2022-08-23,144
2022-08-24,141
2022-08-25,148
2022-08-26,150
2022-08-27,156
2022-08-28,214
2022-08-29,168
2022-08-30,170
2022-08-31,165
2022-09-01,153
2022-09-02,153
2022-09-03,178
2022-09-04,174
2022-09-05,170
2022-09-06,178
2022-09-07,176
2022-09-08,179
2022-09-09,181
2022-09-10,161
2022-09-11,164
2022-09-12,168
2022-09-13,171
2022-09-14,176
2022-09-15,175
2022-09-16,186
2022-09-17,180
2022-09-18,181
2022-09-19,172
2022-09-20,174
2022-09-21,166
2022-09-22,170
2022-09-23,165
2022-09-24,159
2022-09-25,167
2022-09-26,163
2022-09-27,164
2022-09-28,172
2022-09-29,171
2022-09-30,186
2022-10-01,161
2022-10-02,159
2022-10-03,155
2022-10-04,155
2022-10-05,155
2022-10-06,145
2022-10-07,149
2022-10-08,146
2022-10-09,137
2022-10-10,142
2022-10-11,136
2022-10-12,132
2022-10-13,159
2022-10-14,141
2022-10-15,135
2022-10-16,134
2022-10-17,134
2022-10-18,130
2022-10-19,138
2022-10-20,132
2022-10-21,127
2022-10-22,127
2022-10-23,126
2022-10-24,125
2022-10-25,124
2022-10-26,125
2022-10-27,130
2022-10-28,127
2022-10-29,126
2022-10-30,126
2022-10-31,128
2022-11-01,127
2022-11-02,127
2022-11-03,128
2022-11-04,128
2022-11-05,128
2022-11-06,127
2022-11-07,129
2022-11-08,127
2022-11-09,127
2022-11-10,135
2022-11-11,131
2022-11-12,141
2022-11-13,150
2022-11-14,161
2022-11-15,157
2022-11-16,169
2022-11-17,157
2022-11-18,165
2022-11-19,160
2022-11-20,161
2022-11-21,161
2022-11-22,173
2022-11-23,169
2022-11-24,167
2022-11-25,167
2022-11-26,167
2022-11-27,167
2022-11-28,167
2022-11-29,168
2022-11-30,170
2022-12-01,168
2022-12-02,167
2022-12-03,165
2022-12-04,161
2022-12-05,156
2022-12-06,158
2022-12-07,649
2022-12-08,163
2022-12-09,165
2022-12-10,165
2022-12-11,163
2022-12-12,163
2022-12-13,164
2022-12-14,178
2022-12-15,171
2022-12-16,161
2022-12-17,160
2022-12-18,163
2022-12-19,168
2022-12-20,169
2022-12-21,170
2022-12-22,186
2022-12-23,176
2022-12-24,180
2022-12-25,182
2022-12-26,185
2022-12-27,180
2022-12-28,181
2022-12-29,181
2022-12-30,192
2022-12-31,204
2023-01-01,230
2023-01-02,194
2023-01-03,184
2023-01-04,178
2023-01-05,174
2023-01-06,181
2023-01-07,178
2023-01-08,182
2023-01-09,187
2023-01-10,186
2023-01-11,185
2023-01-12,196
2023-01-13,190
2023-01-14,182
2023-01-15,178
2023-01-16,178
2023-01-17,185
2023-01-18,185
2023-01-19,188
2023-01-20,189
2023-01-21,189
