date,oil buy
2021-11-25,3725
2021-11-26,3750
2021-11-27,3769
2021-11-28,3771
2021-11-29,3811
2021-11-30,3818
2021-12-01,3881
2021-12-02,3908
2021-12-03,3897
2021-12-04,3728
2021-12-05,3678
2021-12-06,3642
2021-12-07,3446
2021-12-08,3364
2021-12-09,3401
2021-12-10,3408
2021-12-11,3454
2021-12-12,3450
2021-12-13,3114
2021-12-14,3102
2021-12-15,3142
2021-12-16,3176
2021-12-17,3305
2021-12-18,3280
2021-12-19,3315
2021-12-20,3287
2021-12-21,3007
2021-12-22,3003
2021-12-23,3162
2021-12-24,3163
2021-12-25,3164
2021-12-26,3176
2021-12-27,3293
2021-12-28,3265
2021-12-29,3297
2021-12-30,3319
2021-12-31,3282
2022-01-01,3065
2022-01-02,3240
2022-01-03,3355
2022-01-04,3331
2022-01-05,3208
2022-01-06,3247
2022-01-07,3321
2022-01-08,3375
2022-01-09,3327
2022-01-10,3393
2022-01-11,3421
2022-01-12,3455
2022-01-13,3416
2022-01-14,3177
2022-01-15,3226
2022-01-16,3263
2022-01-17,3299
2022-01-18,3304
2022-01-19,3300
2022-01-20,3358
2022-01-21,3325
2022-01-22,3003
2022-01-23,2791
2022-01-24,3091
2022-01-25,3116
2022-01-26,3140
2022-01-27,3263
2022-01-28,3230
2022-01-29,3294
2022-01-30,3256
2022-01-31,3280
2022-02-01,3295
2022-02-02,3429
2022-02-03,3325
2022-02-04,3308
2022-02-05,3320
2022-02-06,3247
2022-02-07,3293
2022-02-08,3249
2022-02-09,3157
2022-02-10,3187
2022-02-11,3183
2022-02-12,3192
2022-02-13,3295
2022-02-14,3663
2022-02-15,3416
2022-02-16,3287
2022-02-17,3142
2022-02-18,3207
2022-02-19,3159
2022-02-20,3183
2022-02-21,3200
2022-02-22,3185
2022-02-23,3139
2022-02-24,3070
2022-02-25,3153
2022-02-26,3243
2022-02-27,3557
2022-02-28,3330
2022-03-01,3321
2022-03-02,3341
2022-03-03,3399
2022-03-04,3372
2022-03-05,3345
2022-03-06,3346
2022-03-07,3428
2022-03-08,3427
2022-03-09,3524
2022-03-10,3556
2022-03-11,3595
2022-03-12,3571
2022-03-13,3567
2022-03-14,3551
2022-03-15,3362
2022-03-16,3431
2022-03-17,3387
2022-03-18,3411
2022-03-19,3329
2022-03-20,3271
2022-03-21,3405
2022-03-22,3432
2022-03-23,3454
