date,iron buy
2021-12-25,3250
2021-12-26,3283
2021-12-27,3296
2021-12-28,3311
2021-12-29,3319
2021-12-30,3332
2021-12-31,3348
2022-01-01,3404
2022-01-02,3377
2022-01-03,3434
2022-01-04,3604
2022-01-05,3629
2022-01-06,3624
2022-01-07,3639
2022-01-08,3629
2022-01-09,3457
2022-01-10,3439
2022-01-11,3471
2022-01-12,3513
2022-01-13,3553
2022-01-14,3548
2022-01-15,3358
2022-01-16,3282
2022-01-17,3342
2022-01-18,3474
2022-01-19,3535
2022-01-20,3621
2022-01-21,3599
2022-01-22,3456
2022-01-23,3056
2022-01-24,3143
2022-01-25,3144
2022-01-26,3169
2022-01-27,3254
2022-01-28,3232
2022-01-29,3261
2022-01-30,3371
2022-01-31,3400
2022-02-01,3404
2022-02-02,3355
2022-02-03,3341
2022-02-04,3435
2022-02-05,3413
2022-02-06,3440
2022-02-07,3364
2022-02-08,3448
2022-02-09,3482
2022-02-10,3207
2022-02-11,3278
2022-02-12,3470
2022-02-13,3597
2022-02-14,3569
2022-02-15,3518
2022-02-16,3546
2022-02-17,3651
2022-02-18,3684
2022-02-19,3639
2022-02-20,3560
2022-02-21,3505
2022-02-22,3409
2022-02-23,3292
2022-02-24,3331
2022-02-25,3264
2022-02-26,3347
2022-02-27,3417
2022-02-28,3466
2022-03-01,3456
2022-03-02,3313
2022-03-03,3442
2022-03-04,3443
2022-03-05,3493
2022-03-06,3510
2022-03-07,3464
2022-03-08,3371
2022-03-09,3348
2022-03-10,3309
2022-03-11,3322
2022-03-12,3324
2022-03-13,3194
2022-03-14,3202
2022-03-15,3218
2022-03-16,3191
2022-03-17,3178
2022-03-18,3385
2022-03-19,3351
2022-03-20,3314
2022-03-21,3308
2022-03-22,3343
2022-03-23,3342
2022-03-24,3279
2022-03-25,3229
2022-03-26,3237
2022-03-27,3233
2022-03-28,3332
2022-03-29,3265
2022-03-30,3260
2022-03-31,3227
2022-04-01,3216
2022-04-02,3295
2022-04-03,3267
2022-04-04,3227
2022-04-05,3205
2022-04-06,3227
2022-04-07,3266
2022-04-08,3249
2022-04-09,3203
2022-04-10,3253
2022-04-11,3277
2022-04-12,3251
2022-04-13,3200
2022-04-14,3176
2022-04-15,3201
2022-04-16,3324
2022-04-17,3313
2022-04-18,3262
2022-04-19,3199
2022-04-20,3249
2022-04-21,3210
2022-04-22,3196
2022-04-23,3326
2022-04-24,3350
2022-04-25,3241
2022-04-26,3232
2022-04-27,3198
2022-04-28,3200
2022-04-29,3246
2022-04-30,3277
2022-05-01,3252
2022-05-02,3309
2022-05-03,3266
2022-05-04,3184
2022-05-05,3125
2022-05-06,3079
2022-05-07,3124
2022-05-08,3165
2022-05-09,3160
2022-05-10,3175
2022-05-11,3181
2022-05-12,3189
2022-05-13,3087
2022-05-14,3130
2022-05-15,3248
2022-05-16,3218
2022-05-17,3158
2022-05-18,3119
2022-05-19,3021
2022-05-20,2885
2022-05-21,2911
2022-05-22,3105
2022-05-23,3041
2022-05-24,3055
2022-05-25,3102
2022-05-26,3103
2022-05-27,3053
2022-05-28,3082
2022-05-29,3008
2022-05-30,2910
2022-05-31,3019
2022-06-01,2995
2022-06-02,2974
2022-06-03,2939
2022-06-04,2893
2022-06-05,2930
2022-06-06,2958
2022-06-07,2973
2022-06-08,2982
2022-06-09,2951
2022-06-10,2967
2022-06-11,2943
2022-06-12,2941
2022-06-13,2860
2022-06-14,2978
2022-06-15,2977
2022-06-16,2964
2022-06-17,2882
2022-06-18,2929
2022-06-19,2829
2022-06-20,2830
2022-06-21,2786
2022-06-22,2855
2022-06-23,2730
2022-06-24,2795
2022-06-25,2809
2022-06-26,2854
2022-06-27,2835
2022-06-28,2810
2022-06-29,2815
2022-06-30,2533
2022-07-01,2558
2022-07-02,2619
2022-07-03,2722
2022-07-04,2630
2022-07-05,2599
2022-07-06,2619
2022-07-07,2610
2022-07-08,2557
2022-07-09,2438
2022-07-10,2465
2022-07-11,2486
2022-07-12,2658
2022-07-13,2638
2022-07-14,2665
2022-07-15,2668
2022-07-16,2664
2022-07-17,2711
2022-07-18,2706
2022-07-19,2514
2022-07-20,2426
2022-07-21,2398
2022-07-22,2382
2022-07-23,2638
2022-07-24,2298
2022-07-25,2260
2022-07-26,2674
2022-07-27,2656
2022-07-28,2551
2022-07-29,2494
2022-07-30,2410
2022-07-31,2460
2022-08-01,2547
2022-08-02,2625
2022-08-03,2501
2022-08-04,2606
2022-08-05,2633
2022-08-06,2666
2022-08-07,2683
2022-08-08,2704
2022-08-09,2698
2022-08-10,2753
2022-08-11,2689
2022-08-12,2703
2022-08-13,2669
2022-08-14,2666
2022-08-15,2725
2022-08-16,2731
2022-08-17,2783
2022-08-18,2731
2022-08-19,2729
2022-08-20,2665
2022-08-21,2614
2022-08-22,2599
2022-08-23,2647
2022-08-24,2687
2022-08-25,2628
2022-08-26,2658
2022-08-27,2688
2022-08-28,2671
2022-08-29,2664
2022-08-30,2582
2022-08-31,2541
2022-09-01,2509
2022-09-02,2515
2022-09-03,2615
2022-09-04,2536
2022-09-05,2340
2022-09-06,2534
2022-09-07,2687
2022-09-08,2763
2022-09-09,2664
2022-09-10,2600
2022-09-11,2419
2022-09-12,2755
2022-09-13,2677
2022-09-14,2494
2022-09-15,2323
2022-09-16,2349
2022-09-17,2357
2022-09-18,2358
2022-09-19,2755
2022-09-20,2560
2022-09-21,2370
2022-09-22,2201
2022-09-23,2210
2022-09-24,2268
2022-09-25,2159
2022-09-26,2555
2022-09-27,2514
2022-09-28,2393
2022-09-29,2392
2022-09-30,2235
2022-10-01,2254
2022-10-02,2308
2022-10-03,2321
2022-10-04,2359
2022-10-05,2319
2022-10-06,2228
2022-10-07,2206
2022-10-08,2157
2022-10-09,2278
2022-10-10,2240
2022-10-11,2261
2022-10-12,2325
2022-10-13,2320
2022-10-14,2591
2022-10-15,2533
2022-10-16,2451
2022-10-17,2405
2022-10-18,2325
2022-10-19,2382
2022-10-20,2481
2022-10-21,2556
2022-10-22,2489
2022-10-23,2430
2022-10-24,2567
2022-10-25,2651
2022-10-26,2602
2022-10-27,2524
2022-10-28,2328
2022-10-29,2257
2022-10-30,2254
2022-10-31,2167
2022-11-01,2209
2022-11-02,2241
2022-11-03,2341
2022-11-04,2412
2022-11-05,2378
2022-11-06,2376
2022-11-07,2495
2022-11-08,2481
2022-11-09,2548
2022-11-10,2536
2022-11-11,2429
2022-11-12,2232
2022-11-13,2273
2022-11-14,2279
2022-11-15,2308
2022-11-16,2380
2022-11-17,2331
2022-11-18,2347
2022-11-19,2317
2022-11-20,2313
2022-11-21,2421
2022-11-22,2346
2022-11-23,2382
2022-11-24,2372
2022-11-25,2382
2022-11-26,2279
2022-11-27,2407
2022-11-28,2393
2022-11-29,2354
2022-11-30,2360
2022-12-01,2447
2022-12-02,2405
2022-12-03,2357
2022-12-04,2358
2022-12-05,2342
2022-12-06,2366
2022-12-07,2445
2022-12-08,2455
2022-12-09,2418
2022-12-10,2338
2022-12-11,2306
2022-12-12,2326
2022-12-13,2391
2022-12-14,2378
2022-12-15,2365
2022-12-16,2236
2022-12-17,2199
2022-12-18,2200
2022-12-19,2225
2022-12-20,2296
2022-12-21,2229
2022-12-22,2235
2022-12-23,2115
2022-12-24,2015
2022-12-25,1821
2022-12-26,1614
2022-12-27,1679
2022-12-28,1807
2022-12-29,1906
2022-12-30,1921
2022-12-31,1857
2023-01-01,1532
2023-01-02,1771
2023-01-03,1700
2023-01-04,1716
2023-01-05,1733
2023-01-06,1474
2023-01-07,1910
2023-01-08,2258
2023-01-09,1971
2023-01-10,1709
2023-01-11,1702
2023-01-12,1673
2023-01-13,1721
2023-01-14,1786
2023-01-15,2096
2023-01-16,1790
2023-01-17,1765
2023-01-18,1672
2023-01-19,2407
2023-01-20,2041
2023-01-21,1890
2023-01-22,1817
2023-01-23,1657
2023-01-24,1764
2023-01-25,1999
2023-01-26,1957
2023-01-27,1918
2023-01-28,1908
2023-01-29,2056
2023-01-30,2158
2023-01-31,2157
2023-02-01,2178
2023-02-02,2110
2023-02-03,1875
2023-02-04,1720
2023-02-05,1704
2023-02-06,1817
2023-02-07,1970
2023-02-08,2286
2023-02-09,2011
2023-02-10,1998
2023-02-11,1993
2023-02-12,1863
2023-02-13,1891
2023-02-14,1910
2023-02-15,1885
2023-02-16,1712
2023-02-17,1675
2023-02-18,1871
2023-02-19,2172
2023-02-20,2283
2023-02-21,2373
2023-02-22,2402
2023-02-23,2405
2023-02-24,2408
2023-02-25,2473
2023-02-26,2495
2023-02-27,2317
2023-02-28,2274
2023-03-01,2174
2023-03-02,2224
2023-03-03,2208
2023-03-04,2192
2023-03-05,2403
2023-03-06,2513
2023-03-07,2281
2023-03-08,2170
2023-03-09,2094
2023-03-10,2129
2023-03-11,2174
2023-03-12,2230
2023-03-13,2261
2023-03-14,2276
2023-03-15,2246
2023-03-16,2158
2023-03-17,2136
2023-03-18,2119
2023-03-19,2314
2023-03-20,2406
2023-03-21,2415
2023-03-22,2473
2023-03-23,2339
2023-03-24,2272
2023-03-25,2329
2023-03-26,2304
2023-03-27,2188
2023-03-28,2205
2023-03-29,2232
2023-03-30,2372
2023-03-31,2410
2023-04-01,2381
2023-04-02,2348
2023-04-03,2321
2023-04-04,2384
2023-04-05,2474
2023-04-06,2429
2023-04-07,2414
2023-04-08,2396
2023-04-09,2386
2023-04-10,2475
2023-04-11,2432
2023-04-12,2385
2023-04-13,2303
2023-04-14,2506
2023-04-15,2645
2023-04-16,2614
2023-04-17,2599
2023-04-18,2511
2023-04-19,2378
2023-04-20,2367
2023-04-21,2530
2023-04-22,2521
2023-04-23,2417
2023-04-24,2284
2023-04-25,2269
2023-04-26,2342
2023-04-27,2295
2023-04-28,2355
2023-04-29,2361
2023-04-30,2270
2023-05-01,2193
2023-05-02,2161
2023-05-03,2125
2023-05-04,2167
2023-05-05,2202
2023-05-06,2149
2023-05-07,2170
2023-05-08,2274
2023-05-09,2329
2023-05-10,2328
2023-05-11,2291
2023-05-12,2257
2023-05-13,2386
2023-05-14,2295
2023-05-15,2283
2023-05-16,2341
2023-05-17,2291
2023-05-18,2302
2023-05-19,2311
