date,steel buy
2022-01-29,3810
2022-01-30,3853
2022-01-31,3865
2022-02-01,3828
2022-02-02,3748
2022-02-03,3688
2022-02-04,3698
2022-02-05,3722
2022-02-06,3732
2022-02-07,3750
2022-02-08,3790
2022-02-09,3808
2022-02-10,3801
2022-02-11,3737
2022-02-12,3775
2022-02-13,3734
2022-02-14,3774
2022-02-15,3742
2022-02-16,3712
2022-02-17,3745
2022-02-18,3789
2022-02-19,3748
2022-02-20,3779
2022-02-21,3691
2022-02-22,3714
2022-02-23,3731
2022-02-24,3729
2022-02-25,3720
2022-02-26,3767
2022-02-27,3777
2022-02-28,3775
2022-03-01,3782
2022-03-02,3762
2022-03-03,3699
2022-03-04,3711
2022-03-05,3708
2022-03-06,3678
2022-03-07,3694
2022-03-08,3746
2022-03-09,3811
2022-03-10,3828
2022-03-11,3831
2022-03-12,3830
2022-03-13,3866
2022-03-14,3857
2022-03-15,3854
2022-03-16,3863
2022-03-17,3864
2022-03-18,3917
2022-03-19,3967
2022-03-20,3983
2022-03-21,3826
2022-03-22,3846
2022-03-23,3846
2022-03-24,3842
2022-03-25,3834
2022-03-26,3849
2022-03-27,3855
2022-03-28,3794
2022-03-29,3815
2022-03-30,3828
2022-03-31,3836
2022-04-01,3860
2022-04-02,3841
2022-04-03,3807
2022-04-04,3745
2022-04-05,3755
2022-04-06,3764
2022-04-07,3780
2022-04-08,3782
2022-04-09,3769
2022-04-10,3733
2022-04-11,3715
2022-04-12,3691
2022-04-13,3592
2022-04-14,3622
2022-04-15,3621
2022-04-16,3611
2022-04-17,3586
2022-04-18,3583
2022-04-19,3525
2022-04-20,3595
2022-04-21,3549
2022-04-22,3583
2022-04-23,3613
2022-04-24,3627
2022-04-25,3575
2022-04-26,3590
2022-04-27,3554
2022-04-28,3533
2022-04-29,3489
2022-04-30,3564
2022-05-01,3640
2022-05-02,3611
2022-05-03,3689
2022-05-04,3613
2022-05-05,3588
2022-05-06,3571
2022-05-07,3548
2022-05-08,3524
2022-05-09,3562
2022-05-10,3571
2022-05-11,3601
2022-05-12,3581
2022-05-13,3594
2022-05-14,3591
2022-05-15,3580
2022-05-16,3692
2022-05-17,3692
2022-05-18,3769
2022-05-19,3840
2022-05-20,3952
2022-05-21,3919
2022-05-22,3878
2022-05-23,3839
2022-05-24,3835
2022-05-25,3707
2022-05-26,3748
2022-05-27,3632
2022-05-28,3609
2022-05-29,3582
2022-05-30,3500
2022-05-31,3574
2022-06-01,3595
2022-06-02,3551
2022-06-03,3626
2022-06-04,3556
2022-06-05,3594
2022-06-06,3536
2022-06-07,3534
2022-06-08,3599
2022-06-09,3603
2022-06-10,3563
2022-06-11,3542
2022-06-12,3516
2022-06-13,3454
2022-06-14,3644
2022-06-15,3525
2022-06-16,3408
2022-06-17,3627
2022-06-18,3546
2022-06-19,3536
2022-06-20,3602
2022-06-21,3660
2022-06-22,3646
2022-06-23,3615
2022-06-24,3619
2022-06-25,3578
2022-06-26,3554
2022-06-27,3594
2022-06-28,3578
2022-06-29,3598
2022-06-30,3617
2022-07-01,3540
2022-07-02,3547
2022-07-03,3480
2022-07-04,3416
2022-07-05,3525
2022-07-06,3577
2022-07-07,3558
2022-07-08,3566
2022-07-09,3583
2022-07-10,3552
2022-07-11,3527
2022-07-12,3541
2022-07-13,3526
2022-07-14,3510
2022-07-15,3576
2022-07-16,3567
2022-07-17,3567
2022-07-18,3559
