date,aluminum sell
2022-05-25,481955
2022-05-26,501231
2022-05-27,403044
2022-05-28,516306
2022-05-29,572193
2022-05-30,640678
2022-05-31,445953
2022-06-01,556684
2022-06-02,543671
2022-06-03,554050
2022-06-04,485801
2022-06-05,642311
2022-06-06,505414
2022-06-07,487612
2022-06-08,530498
2022-06-09,643589
2022-06-10,600691
2022-06-11,628116
2022-06-12,557944
2022-06-13,857808
2022-06-14,520724
2022-06-15,675135
2022-06-16,591925
2022-06-17,1425863
2022-06-18,505007
2022-06-19,588886
2022-06-20,522373
2022-06-21,711144
2022-06-22,473567
2022-06-23,508846
2022-06-24,611378
2022-06-25,528338
2022-06-26,560631
2022-06-27,470930
2022-06-28,673373
2022-06-29,781856
2022-06-30,753721
2022-07-01,377944
2022-07-02,429806
2022-07-03,565460
2022-07-04,514230
2022-07-05,427682
2022-07-06,459269
2022-07-07,542957
2022-07-08,433261
2022-07-09,428880
2022-07-10,511505
2022-07-11,432954
2022-07-12,403906
2022-07-13,458750
2022-07-14,371584
2022-07-15,432844
2022-07-16,414086
2022-07-17,418433
2022-07-18,466448
2022-07-19,368169
2022-07-20,409460
2022-07-21,487813
2022-07-22,299499
2022-07-23,368874
2022-07-24,535895
2022-07-25,792488
2022-07-26,775618
2022-07-27,384832
2022-07-28,391569
2022-07-29,818876
2022-07-30,425280
2022-07-31,513002
2022-08-01,1398161
2022-08-02,761007
2022-08-03,1087039
2022-08-04,955865
2022-08-05,1211049
2022-08-06,958164
2022-08-07,1347454
2022-08-08,923214
2022-08-09,792167
2022-08-10,624154
2022-08-11,875914
2022-08-12,579897
2022-08-13,733263
2022-08-14,667553
2022-08-15,912178
2022-08-16,633687
2022-08-17,769003
2022-08-18,686305
2022-08-19,560942
2022-08-20,690857
2022-08-21,478194
2022-08-22,794408
2022-08-23,580611
2022-08-24,557962
2022-08-25,572028
2022-08-26,563478
2022-08-27,837545
2022-08-28,595191
2022-08-29,813710
2022-08-30,633709
2022-08-31,504300
2022-09-01,639543
2022-09-02,702769
2022-09-03,638575
2022-09-04,549880
2022-09-05,595741
2022-09-06,646293
2022-09-07,370222
2022-09-08,454070
2022-09-09,416843
2022-09-10,488440
2022-09-11,619674
2022-09-12,469450
2022-09-13,500104
2022-09-14,317331
2022-09-15,442184
2022-09-16,484107
2022-09-17,605926
2022-09-18,679968
2022-09-19,697382
2022-09-20,869146
2022-09-21,753674
2022-09-22,534116
2022-09-23,469206
2022-09-24,662583
2022-09-25,544980
2022-09-26,972085
2022-09-27,488474
2022-09-28,649767
2022-09-29,488187
2022-09-30,543892
2022-10-01,779010
2022-10-02,554204
2022-10-03,599816
2022-10-04,455387
2022-10-05,512993
2022-10-06,553492
2022-10-07,422451
2022-10-08,742071
2022-10-09,874303
2022-10-10,771607
2022-10-11,647679
2022-10-12,719559
2022-10-13,934138
2022-10-14,496326
2022-10-15,636454
2022-10-16,737001
2022-10-17,628956
2022-10-18,934880
2022-10-19,506296
2022-10-20,581969
2022-10-21,553857
2022-10-22,1045626
2022-10-23,509566
2022-10-24,973724
2022-10-25,655409
2022-10-26,574419
2022-10-27,584097
2022-10-28,559897
2022-10-29,375108
2022-10-30,653646
2022-10-31,934747
2022-11-01,854601
2022-11-02,1503457
2022-11-03,750640
2022-11-04,760965
2022-11-05,974474
2022-11-06,701341
2022-11-07,446257
2022-11-08,751851
2022-11-09,777115
2022-11-10,506280
2022-11-11,951121
2022-11-12,1074345
