date,gasoline sell
2022-03-30,436214
2022-03-31,498187
2022-04-01,759870
2022-04-02,824557
2022-04-03,324880
2022-04-04,542082
2022-04-05,562967
2022-04-06,441778
2022-04-07,523614
2022-04-08,635325
2022-04-09,375953
2022-04-10,569272
2022-04-11,572220
2022-04-12,572539
2022-04-13,460032
2022-04-14,981877
2022-04-15,614995
2022-04-16,615171
2022-04-17,544275
2022-04-18,440327
2022-04-19,363227
2022-04-20,419711
2022-04-21,498702
2022-04-22,420397
2022-04-23,535744
2022-04-24,401274
2022-04-25,560660
2022-04-26,433806
2022-04-27,479261
2022-04-28,476370
2022-04-29,412255
2022-04-30,363627
2022-05-01,518143
2022-05-02,500190
2022-05-03,421697
2022-05-04,506094
2022-05-05,454521
2022-05-06,546667
2022-05-07,467475
2022-05-08,490453
2022-05-09,521845
2022-05-10,517556
2022-05-11,498742
2022-05-12,674259
2022-05-13,496733
2022-05-14,403492
2022-05-15,471759
2022-05-16,720916
2022-05-17,1142595
2022-05-18,975253
2022-05-19,586830
2022-05-20,655109
2022-05-21,546392
2022-05-22,472079
2022-05-23,522494
2022-05-24,279369
2022-05-25,506269
2022-05-26,389862
2022-05-27,492879
2022-05-28,490655
2022-05-29,456841
2022-05-30,466048
2022-05-31,376411
2022-06-01,407295
2022-06-02,399855
2022-06-03,409277
2022-06-04,441854
2022-06-05,812070
2022-06-06,460947
2022-06-07,504072
2022-06-08,419436
2022-06-09,355131
2022-06-10,388951
2022-06-11,460035
2022-06-12,575847
2022-06-13,693692
2022-06-14,648089
2022-06-15,404778
2022-06-16,564987
2022-06-17,628426
2022-06-18,408290
2022-06-19,404808
2022-06-20,386148
2022-06-21,458394
2022-06-22,479462
2022-06-23,481132
2022-06-24,676259
2022-06-25,359023
2022-06-26,481794
2022-06-27,608833
2022-06-28,442357
2022-06-29,907332
2022-06-30,709554
2022-07-01,577127
2022-07-02,342321
2022-07-03,419581
2022-07-04,512125
2022-07-05,373024
2022-07-06,511040
2022-07-07,576976
2022-07-08,458249
2022-07-09,388586
2022-07-10,394137
2022-07-11,291905
2022-07-12,315336
2022-07-13,439509
2022-07-14,454914
2022-07-15,433346
2022-07-16,425415
2022-07-17,494262
2022-07-18,526965
2022-07-19,307663
2022-07-20,467543
2022-07-21,466207
2022-07-22,350188
2022-07-23,531706
2022-07-24,513811
2022-07-25,730356
2022-07-26,464874
2022-07-27,446767
2022-07-28,370598
2022-07-29,507571
2022-07-30,285815
