date,food sell
2021-10-22,20836865
2021-10-23,17011919
2021-10-24,17061959
2021-10-25,18276878
2021-10-26,17245744
2021-10-27,21942808
2021-10-28,23971858
2021-10-29,18734453
2021-10-30,25299119
2021-10-31,19321348
2021-11-01,25561159
2021-11-02,18996587
2021-11-03,16201878
2021-11-04,20986775
2021-11-05,28327486
2021-11-06,25432541
2021-11-07,24409877
2021-11-08,18858852
2021-11-09,29968474
2021-11-10,14784169
2021-11-11,26934916
2021-11-12,19942779
2021-11-13,15284760
2021-11-14,29148810
2021-11-15,25465926
2021-11-16,27292805
2021-11-17,22272754
2021-11-18,24219842
2021-11-19,28408040
2021-11-20,19149677
2021-11-21,20534506
2021-11-22,29577179
2021-11-23,19862941
2021-11-24,20985460
2021-11-25,19628639
2021-11-26,18095633
2021-11-27,26784107
2021-11-28,16481473
2021-11-29,38940378
2021-11-30,25637138
2021-12-01,23031905
2021-12-02,27621567
2021-12-03,16190520
2021-12-04,21222736
2021-12-05,24556233
2021-12-06,26842223
2021-12-07,25564126
2021-12-08,31793442
2021-12-09,23321184
2021-12-10,21225008
2021-12-11,16059101
2021-12-12,14177893
2021-12-13,13154841
2021-12-14,10371720
2021-12-15,8491557
2021-12-16,8678124
2021-12-17,14203030
2021-12-18,11739099
2021-12-19,11838069
2021-12-20,12238284
2021-12-21,8507962
2021-12-22,10123671
2021-12-23,8577064
2021-12-24,9756379
2021-12-25,10890714
2021-12-26,9597692
2021-12-27,14240517
2021-12-28,13704094
2021-12-29,19658270
2021-12-30,10709734
2021-12-31,12491836
2022-01-01,22729690
2022-01-02,19192748
2022-01-03,16468350
2022-01-04,17272504
2022-01-05,17130952
2022-01-06,15999991
2022-01-07,16641709
2022-01-08,22233375
2022-01-09,17077647
2022-01-10,29838645
2022-01-11,18264984
2022-01-12,16217883
2022-01-13,14283945
2022-01-14,15662950
2022-01-15,17311012
2022-01-16,17589005
2022-01-17,16834145
2022-01-18,17764523
2022-01-19,16369037
2022-01-20,27540353
2022-01-21,17109322
2022-01-22,16192248
2022-01-23,14204475
2022-01-24,16738161
2022-01-25,14934701
2022-01-26,19153738
2022-01-27,13172014
2022-01-28,23596566
2022-01-29,12996809
2022-01-30,16083176
2022-01-31,9545928
2022-02-01,18457576
2022-02-02,14278098
2022-02-03,17549064
2022-02-04,16421893
2022-02-05,16196284
2022-02-06,21222336
2022-02-07,11273719
2022-02-08,14136439
2022-02-09,13615217
2022-02-10,21433807
2022-02-11,18088333
2022-02-12,16507503
2022-02-13,12318759
2022-02-14,12643358
2022-02-15,23349455
2022-02-16,21637277
2022-02-17,16398018
2022-02-18,17219636
2022-02-19,17682520
2022-02-20,20020826
2022-02-21,26950318
2022-02-22,19718012
2022-02-23,16918738
2022-02-24,15899978
2022-02-25,13994665
2022-02-26,20466241
2022-02-27,16190594
2022-02-28,20570754
2022-03-01,24778058
2022-03-02,22845416
2022-03-03,19535077
2022-03-04,28126512
2022-03-05,35440737
2022-03-06,21723987
2022-03-07,25631788
2022-03-08,28548183
2022-03-09,14405352
2022-03-10,28829758
2022-03-11,45162121
2022-03-12,24998013
2022-03-13,25514667
2022-03-14,30525872
2022-03-15,22509770
2022-03-16,17813048
2022-03-17,18307556
2022-03-18,15730141
2022-03-19,30523932
2022-03-20,28567089
2022-03-21,20081208
2022-03-22,18159575
2022-03-23,14144344
2022-03-24,16308178
2022-03-25,17207145
2022-03-26,17524441
2022-03-27,21122468
2022-03-28,20776566
2022-03-29,11945535
2022-03-30,12470831
2022-03-31,12585523
2022-04-01,24127520
2022-04-02,15672659
2022-04-03,31185521
2022-04-04,28151301
2022-04-05,16365465
2022-04-06,17240027
2022-04-07,19379291
2022-04-08,18590145
2022-04-09,17252711
2022-04-10,18676249
2022-04-11,18447146
2022-04-12,26986078
