date,lead sell
2022-09-09,153797
2022-09-10,192882
2022-09-11,254708
2022-09-12,247553
2022-09-13,144794
2022-09-14,190816
2022-09-15,131419
2022-09-16,236376
2022-09-17,251761
2022-09-18,205954
2022-09-19,262266
2022-09-20,238453
2022-09-21,254409
2022-09-22,149191
2022-09-23,128983
2022-09-24,177737
2022-09-25,164888
2022-09-26,266440
2022-09-27,211176
2022-09-28,249904
2022-09-29,216510
2022-09-30,129388
2022-10-01,197983
2022-10-02,219789
2022-10-03,202151
2022-10-04,180100
2022-10-05,181722
2022-10-06,181608
2022-10-07,220359
2022-10-08,250429
2022-10-09,202052
2022-10-10,326176
2022-10-11,235724
2022-10-12,121864
2022-10-13,377069
2022-10-14,264983
2022-10-15,130915
2022-10-16,207744
2022-10-17,204829
2022-10-18,257578
2022-10-19,310915
2022-10-20,280585
2022-10-21,157673
2022-10-22,246073
2022-10-23,173540
2022-10-24,378484
2022-10-25,290644
2022-10-26,207039
2022-10-27,154511
2022-10-28,235784
2022-10-29,255050
2022-10-30,214536
2022-10-31,281853
2022-11-01,249597
2022-11-02,271232
2022-11-03,247785
2022-11-04,292011
2022-11-05,228758
2022-11-06,304783
2022-11-07,221367
2022-11-08,245198
2022-11-09,275310
2022-11-10,161004
2022-11-11,284314
2022-11-12,199041
2022-11-13,169279
2022-11-14,226846
2022-11-15,181928
2022-11-16,137067
2022-11-17,180424
2022-11-18,163168
2022-11-19,193863
2022-11-20,117715
2022-11-21,185723
2022-11-22,153766
2022-11-23,160700
2022-11-24,240879
2022-11-25,190345
2022-11-26,180585
2022-11-27,175325
2022-11-28,191166
2022-11-29,166277
2022-11-30,142427
2022-12-01,235835
2022-12-02,207415
2022-12-03,171246
2022-12-04,115456
2022-12-05,162628
2022-12-06,192589
2022-12-07,171478
2022-12-08,134107
2022-12-09,128630
2022-12-10,175253
2022-12-11,248418
2022-12-12,114832
2022-12-13,135323
2022-12-14,242663
2022-12-15,220174
2022-12-16,152350
2022-12-17,133774
2022-12-18,147552
2022-12-19,235767
2022-12-20,170786
2022-12-21,172181
2022-12-22,171493
2022-12-23,231430
2022-12-24,112784
2022-12-25,133869
2022-12-26,206851
2022-12-27,278676
2022-12-28,166102
2022-12-29,102034
2022-12-30,171991
2022-12-31,194770
2023-01-01,204676
2023-01-02,201884
2023-01-03,229489
2023-01-04,252450
2023-01-05,294889
2023-01-06,211237
2023-01-07,255093
2023-01-08,500917
2023-01-09,289294
2023-01-10,290377
2023-01-11,335709
2023-01-12,196495
2023-01-13,251664
2023-01-14,216891
2023-01-15,352229
2023-01-16,230143
2023-01-17,201134
2023-01-18,249964
2023-01-19,225871
2023-01-20,90772
2023-01-21,162567
2023-01-22,327732
2023-01-23,294097
2023-01-24,210283
2023-01-25,275365
2023-01-26,210935
2023-01-27,389586
2023-01-28,369246
2023-01-29,282174
2023-01-30,388142
2023-01-31,283816
2023-02-01,198604
2023-02-02,272959
2023-02-03,383131
2023-02-04,341857
2023-02-05,379868
2023-02-06,435685
2023-02-07,201920
2023-02-08,487417
2023-02-09,281907
2023-02-10,245002
2023-02-11,362534
2023-02-12,326877
2023-02-13,175636
2023-02-14,246365
2023-02-15,276618
2023-02-16,210063
2023-02-17,412017
2023-02-18,354626
2023-02-19,265429
2023-02-20,356366
2023-02-21,256595
2023-02-22,274184
2023-02-23,243867
2023-02-24,181661
2023-02-25,278563
2023-02-26,389613
2023-02-27,260103
2023-02-28,257767
2023-03-01,245084
2023-03-02,299125
2023-03-03,274023
2023-03-04,199239
2023-03-05,270251
2023-03-06,317580
2023-03-07,342496
2023-03-08,226663
2023-03-09,230963
2023-03-10,215579
2023-03-11,192103
2023-03-12,289495
2023-03-13,342659
2023-03-14,309019
2023-03-15,195142
2023-03-16,207508
2023-03-17,261829
2023-03-18,293559
2023-03-19,175837
2023-03-20,429935
2023-03-21,180042
2023-03-22,299534
2023-03-23,193866
2023-03-24,317100
2023-03-25,155760
2023-03-26,248211
2023-03-27,287938
2023-03-28,270563
2023-03-29,292591
2023-03-30,260769
2023-03-31,193931
2023-04-01,200013
2023-04-02,182411
2023-04-03,245065
2023-04-04,220524
2023-04-05,240409
2023-04-06,266340
2023-04-07,233967
2023-04-08,237416
2023-04-09,221609
2023-04-10,308510
2023-04-11,186988
2023-04-12,208204
2023-04-13,182373
2023-04-14,167628
2023-04-15,262481
2023-04-16,238029
2023-04-17,198009
2023-04-18,321553
2023-04-19,141734
2023-04-20,217261
2023-04-21,202133
