date,uranium sell
2022-02-02,184288
2022-02-03,130824
2022-02-04,174595
2022-02-05,144417
2022-02-06,212783
2022-02-07,179983
2022-02-08,108463
2022-02-09,118803
2022-02-10,154030
2022-02-11,193932
2022-02-12,171639
2022-02-13,125353
2022-02-14,160750
2022-02-15,196377
2022-02-16,234677
2022-02-17,361166
2022-02-18,247069
2022-02-19,236938
2022-02-20,222564
2022-02-21,188556
2022-02-22,181489
2022-02-23,245316
2022-02-24,142579
2022-02-25,153807
2022-02-26,162897
2022-02-27,227517
2022-02-28,294039
2022-03-01,215510
2022-03-02,202058
2022-03-03,157247
2022-03-04,416833
2022-03-05,247284
2022-03-06,160997
2022-03-07,158221
2022-03-08,160683
2022-03-09,184935
2022-03-10,174192
2022-03-11,348085
2022-03-12,210068
2022-03-13,260267
2022-03-14,153203
2022-03-15,164976
2022-03-16,190279
2022-03-17,262783
2022-03-18,278698
2022-03-19,317447
2022-03-20,180267
2022-03-21,175421
2022-03-22,209410
2022-03-23,162988
2022-03-24,258428
2022-03-25,174195
2022-03-26,216641
2022-03-27,161329
2022-03-28,216420
2022-03-29,114966
2022-03-30,222338
2022-03-31,170873
2022-04-01,337321
2022-04-02,185921
2022-04-03,198763
2022-04-04,239109
2022-04-05,186357
2022-04-06,154356
2022-04-07,220599
2022-04-08,265053
2022-04-09,214434
2022-04-10,214859
2022-04-11,189602
2022-04-12,174185
2022-04-13,274566
2022-04-14,308388
2022-04-15,173016
2022-04-16,247531
2022-04-17,220927
2022-04-18,231347
2022-04-19,253544
2022-04-20,164675
2022-04-21,183213
2022-04-22,197555
2022-04-23,196172
2022-04-24,158021
2022-04-25,255129
2022-04-26,126794
2022-04-27,186120
2022-04-28,271766
2022-04-29,163010
2022-04-30,207730
2022-05-01,455884
2022-05-02,183143
2022-05-03,183720
2022-05-04,151926
2022-05-05,314044
2022-05-06,238373
2022-05-07,174738
2022-05-08,233478
2022-05-09,222133
2022-05-10,265892
2022-05-11,246608
2022-05-12,273441
2022-05-13,218597
2022-05-14,217958
2022-05-15,164808
2022-05-16,174826
2022-05-17,392279
2022-05-18,331843
2022-05-19,223780
2022-05-20,311088
2022-05-21,177046
2022-05-22,112651
2022-05-23,235837
2022-05-24,210561
2022-05-25,165734
2022-05-26,150868
2022-05-27,136111
2022-05-28,146906
2022-05-29,286181
2022-05-30,249854
2022-05-31,218474
2022-06-01,198539
2022-06-02,207003
2022-06-03,170466
2022-06-04,201408
2022-06-05,250892
2022-06-06,135638
2022-06-07,170663
2022-06-08,148374
2022-06-09,414135
2022-06-10,196934
2022-06-11,252135
2022-06-12,196434
2022-06-13,323548
2022-06-14,201409
2022-06-15,226949
2022-06-16,281645
2022-06-17,220262
2022-06-18,204086
2022-06-19,492692
2022-06-20,161398
2022-06-21,314089
2022-06-22,210251
2022-06-23,168615
2022-06-24,189369
2022-06-25,159590
2022-06-26,213229
2022-06-27,342287
2022-06-28,401744
2022-06-29,222957
2022-06-30,155602
2022-07-01,193903
2022-07-02,136197
2022-07-03,174180
2022-07-04,133561
2022-07-05,109808
