date,oil sell
2023-02-10,427793
2023-02-11,537479
2023-02-12,333754
2023-02-13,420955
2023-02-14,402004
2023-02-15,182724
2023-02-16,245311
2023-02-17,387386
2023-02-18,512407
2023-02-19,324945
2023-02-20,390439
2023-02-21,389583
