date,bauxite sell
2022-12-03,238559
2022-12-04,198278
2022-12-05,206751
2022-12-06,249270
2022-12-07,185418
2022-12-08,211150
2022-12-09,206001
2022-12-10,169284
2022-12-11,364177
2022-12-12,191357
2022-12-13,214157
2022-12-14,129093
2022-12-15,299243
2022-12-16,163093
2022-12-17,223949
2022-12-18,296707
2022-12-19,235704
2022-12-20,259048
2022-12-21,224769
2022-12-22,213730
2022-12-23,199707
2022-12-24,148536
2022-12-25,113852
2022-12-26,183518
2022-12-27,178413
2022-12-28,194127
2022-12-29,211814
2022-12-30,153527
2022-12-31,254088
2023-01-01,181007
2023-01-02,203874
2023-01-03,109864
2023-01-04,235856
2023-01-05,293097
2023-01-06,273438
2023-01-07,454713
2023-01-08,283373
2023-01-09,224754
2023-01-10,428102
2023-01-11,211456
2023-01-12,262823
2023-01-13,175484
2023-01-14,258143
2023-01-15,333701
2023-01-16,256856
2023-01-17,168009
2023-01-18,132811
2023-01-19,220864
2023-01-20,124463
2023-01-21,343598
2023-01-22,286905
2023-01-23,253887
2023-01-24,351881
2023-01-25,151934
2023-01-26,173142
2023-01-27,401700
2023-01-28,328448
2023-01-29,263157
2023-01-30,262305
2023-01-31,204013
2023-02-01,195287
2023-02-02,154941
2023-02-03,213086
2023-02-04,277937
2023-02-05,172197
2023-02-06,296261
2023-02-07,264993
2023-02-08,212725
2023-02-09,233116
2023-02-10,188221
2023-02-11,301031
2023-02-12,191034
2023-02-13,174037
2023-02-14,255790
2023-02-15,254019
2023-02-16,283365
2023-02-17,409087
2023-02-18,270803
2023-02-19,228869
2023-02-20,239100
2023-02-21,284869
2023-02-22,225996
2023-02-23,230290
2023-02-24,180073
2023-02-25,144391
2023-02-26,193935
2023-02-27,273286
2023-02-28,157395
2023-03-01,208446
2023-03-02,294703
2023-03-03,213914
2023-03-04,242579
2023-03-05,231144
2023-03-06,214974
2023-03-07,137566
2023-03-08,412835
2023-03-09,220008
2023-03-10,228901
2023-03-11,219073
2023-03-12,276462
2023-03-13,393896
2023-03-14,290127
2023-03-15,214313
2023-03-16,223139
2023-03-17,270635
2023-03-18,255493
2023-03-19,174437
2023-03-20,357257
2023-03-21,217133
2023-03-22,554681
2023-03-23,421062
2023-03-24,310583
2023-03-25,201293
2023-03-26,219891
2023-03-27,376427
2023-03-28,333961
2023-03-29,396670
2023-03-30,217028
2023-03-31,183737
2023-04-01,297447
2023-04-02,219813
2023-04-03,229829
2023-04-04,226948
2023-04-05,256645
2023-04-06,254107
2023-04-07,228876
2023-04-08,254559
2023-04-09,200787
2023-04-10,319488
2023-04-11,279773
2023-04-12,262403
2023-04-13,216062
2023-04-14,237482
2023-04-15,333341
2023-04-16,302462
2023-04-17,241824
2023-04-18,230295
2023-04-19,217704
2023-04-20,320509
2023-04-21,219157
2023-04-22,184009
2023-04-23,380614
2023-04-24,213270
2023-04-25,308461
2023-04-26,369305
2023-04-27,197786
2023-04-28,177350
2023-04-29,119738
2023-04-30,121265
2023-05-01,179835
2023-05-02,159974
2023-05-03,112895
2023-05-04,139613
2023-05-05,130088
2023-05-06,184975
2023-05-07,132766
2023-05-08,202065
2023-05-09,160234
2023-05-10,211633
2023-05-11,175389
2023-05-12,135727
2023-05-13,150446
2023-05-14,143999
2023-05-15,202095
2023-05-16,268912
2023-05-17,166267
2023-05-18,197706
2023-05-19,267830
2023-05-20,209650
2023-05-21,139265
2023-05-22,176766
2023-05-23,200155
2023-05-24,157120
2023-05-25,152976
2023-05-26,230142
2023-05-27,116190
