date,munitions sell
2022-02-10,546224
2022-02-11,474454
2022-02-12,416367
2022-02-13,530329
2022-02-14,522155
2022-02-15,666139
2022-02-16,878093
2022-02-17,639931
2022-02-18,591533
2022-02-19,633679
2022-02-20,727206
2022-02-21,848092
2022-02-22,528677
2022-02-23,685703
2022-02-24,468920
2022-02-25,580146
2022-02-26,602478
2022-02-27,552348
2022-02-28,720596
2022-03-01,850613
2022-03-02,517999
2022-03-03,501185
2022-03-04,474328
2022-03-05,645933
2022-03-06,579425
2022-03-07,731424
2022-03-08,704875
2022-03-09,643367
2022-03-10,654471
2022-03-11,439888
2022-03-12,596193
2022-03-13,946821
2022-03-14,664635
2022-03-15,674770
2022-03-16,721648
2022-03-17,886343
2022-03-18,676311
2022-03-19,737482
2022-03-20,860630
2022-03-21,688989
2022-03-22,831885
2022-03-23,615436
2022-03-24,755155
2022-03-25,638483
2022-03-26,603803
2022-03-27,690857
2022-03-28,684088
2022-03-29,504749
2022-03-30,503643
2022-03-31,504543
2022-04-01,685516
2022-04-02,584502
2022-04-03,490675
2022-04-04,527776
2022-04-05,504484
2022-04-06,498978
2022-04-07,920036
2022-04-08,788909
2022-04-09,452280
2022-04-10,622443
2022-04-11,629424
2022-04-12,798355
2022-04-13,536459
2022-04-14,551726
2022-04-15,668052
2022-04-16,617753
2022-04-17,820237
2022-04-18,587359
2022-04-19,634260
2022-04-20,516929
2022-04-21,485414
2022-04-22,591708
2022-04-23,508739
2022-04-24,402922
2022-04-25,658066
2022-04-26,466376
2022-04-27,430480
2022-04-28,520146
2022-04-29,472822
2022-04-30,429906
2022-05-01,638351
2022-05-02,526903
2022-05-03,814107
2022-05-04,464032
2022-05-05,502928
2022-05-06,1040408
2022-05-07,531837
2022-05-08,579723
2022-05-09,649904
2022-05-10,504131
2022-05-11,642139
2022-05-12,842841
2022-05-13,675472
2022-05-14,434236
2022-05-15,533602
2022-05-16,663905
2022-05-17,1053203
2022-05-18,994752
2022-05-19,632684
2022-05-20,688048
2022-05-21,793746
2022-05-22,574094
2022-05-23,687367
2022-05-24,380628
2022-05-25,535891
2022-05-26,406064
2022-05-27,666069
2022-05-28,463947
2022-05-29,664736
2022-05-30,531774
2022-05-31,547489
2022-06-01,509288
2022-06-02,582244
2022-06-03,481060
2022-06-04,669880
2022-06-05,698078
2022-06-06,480279
2022-06-07,538283
2022-06-08,532880
2022-06-09,498062
2022-06-10,437614
