date,coal sell
2022-04-27,294396
2022-04-28,304732
2022-04-29,394945
2022-04-30,274485
2022-05-01,431229
2022-05-02,317597
2022-05-03,259592
2022-05-04,216964
2022-05-05,343860
2022-05-06,305653
2022-05-07,306057
2022-05-08,309739
2022-05-09,376492
2022-05-10,526155
2022-05-11,371804
2022-05-12,301894
2022-05-13,231246
2022-05-14,284100
2022-05-15,349213
2022-05-16,306919
2022-05-17,383492
2022-05-18,306734
2022-05-19,359994
2022-05-20,314823
2022-05-21,307421
2022-05-22,294200
2022-05-23,302479
2022-05-24,334867
2022-05-25,376890
2022-05-26,235457
2022-05-27,153915
2022-05-28,271271
2022-05-29,309121
2022-05-30,270899
2022-05-31,250788
2022-06-01,256984
2022-06-02,251061
2022-06-03,282387
2022-06-04,293757
2022-06-05,326173
2022-06-06,273452
2022-06-07,341957
2022-06-08,225793
2022-06-09,289846
2022-06-10,302903
2022-06-11,308114
2022-06-12,288268
2022-06-13,348754
2022-06-14,345428
2022-06-15,317550
2022-06-16,343468
2022-06-17,305305
2022-06-18,290801
2022-06-19,266062
2022-06-20,227724
2022-06-21,265255
2022-06-22,289457
2022-06-23,339048
2022-06-24,268217
2022-06-25,309225
2022-06-26,311847
2022-06-27,339533
2022-06-28,265031
2022-06-29,344833
2022-06-30,282499
2022-07-01,268891
2022-07-02,203555
2022-07-03,200546
2022-07-04,198894
2022-07-05,229792
2022-07-06,252135
2022-07-07,215719
2022-07-08,271287
2022-07-09,218200
2022-07-10,220675
2022-07-11,228553
2022-07-12,231514
2022-07-13,285727
2022-07-14,324541
2022-07-15,205438
2022-07-16,245910
2022-07-17,213072
2022-07-18,243811
2022-07-19,307480
2022-07-20,298015
2022-07-21,208691
2022-07-22,188088
2022-07-23,190478
2022-07-24,188517
2022-07-25,489109
2022-07-26,360254
2022-07-27,292919
2022-07-28,184319
2022-07-29,256869
2022-07-30,300675
2022-07-31,295572
2022-08-01,565628
2022-08-02,292848
2022-08-03,376172
2022-08-04,307774
2022-08-05,480959
2022-08-06,646196
2022-08-07,455165
2022-08-08,257826
2022-08-09,323763
2022-08-10,223422
2022-08-11,308102
2022-08-12,339015
2022-08-13,292371
2022-08-14,357543
2022-08-15,309441
2022-08-16,280537
2022-08-17,419044
2022-08-18,394473
2022-08-19,259653
2022-08-20,340414
2022-08-21,295829
2022-08-22,344535
2022-08-23,372690
2022-08-24,306048
2022-08-25,387803
2022-08-26,287096
2022-08-27,427508
2022-08-28,364685
2022-08-29,269941
2022-08-30,200101
2022-08-31,256872
2022-09-01,263149
2022-09-02,261970
2022-09-03,506108
2022-09-04,340589
2022-09-05,243989
2022-09-06,293442
2022-09-07,296504
2022-09-08,265054
2022-09-09,198166
2022-09-10,273932
2022-09-11,336980
2022-09-12,468135
