date,iron sell
2021-12-09,157688
2021-12-10,142405
2021-12-11,187030
2021-12-12,130893
2021-12-13,117632
2021-12-14,100516
2021-12-15,132384
2021-12-16,140384
2021-12-17,170128
2021-12-18,137874
2021-12-19,178351
2021-12-20,125460
2021-12-21,113814
2021-12-22,125690
2021-12-23,154986
2021-12-24,182511
2021-12-25,116288
2021-12-26,197868
2021-12-27,142925
2021-12-28,177726
2021-12-29,194465
2021-12-30,148591
2021-12-31,133165
2022-01-01,174029
2022-01-02,334554
2022-01-03,214388
2022-01-04,308977
2022-01-05,186602
2022-01-06,212186
2022-01-07,113204
2022-01-08,238382
2022-01-09,218436
2022-01-10,274484
2022-01-11,163289
2022-01-12,176650
2022-01-13,221099
2022-01-14,221856
2022-01-15,166824
2022-01-16,180992
2022-01-17,273974
2022-01-18,284118
2022-01-19,185903
2022-01-20,379588
2022-01-21,221929
2022-01-22,159403
2022-01-23,266164
2022-01-24,154711
2022-01-25,168102
2022-01-26,141789
2022-01-27,117012
2022-01-28,134601
2022-01-29,210295
2022-01-30,157444
2022-01-31,136367
2022-02-01,179927
2022-02-02,142020
2022-02-03,174234
2022-02-04,232265
2022-02-05,148180
2022-02-06,177057
2022-02-07,183731
2022-02-08,203397
2022-02-09,151865
2022-02-10,224374
2022-02-11,218211
2022-02-12,186587
2022-02-13,245786
2022-02-14,200549
2022-02-15,293272
2022-02-16,311377
2022-02-17,282118
2022-02-18,253794
2022-02-19,256540
2022-02-20,268773
2022-02-21,266938
2022-02-22,263941
2022-02-23,290166
2022-02-24,195621
2022-02-25,221192
2022-02-26,258655
2022-02-27,163520
2022-02-28,274735
2022-03-01,306608
2022-03-02,194928
2022-03-03,234504
2022-03-04,349727
2022-03-05,195260
2022-03-06,300633
2022-03-07,316226
2022-03-08,344663
2022-03-09,211570
2022-03-10,276818
2022-03-11,270714
2022-03-12,353299
2022-03-13,317106
2022-03-14,359141
2022-03-15,209595
2022-03-16,292289
2022-03-17,304420
2022-03-18,243241
2022-03-19,334703
